	Well	Fluor	Target	Content	Sample	Melt Temperature	Peak Height	Begin Temperature	End Temperature	Well Note
	A01	FRET		Unkn	Machine Control	35.5	8.31537760416586	34.5	39	
	A01	FRET		Unkn	Machine Control	31.5	17.1221468098963	29	34.5	
	A01	FRET		Unkn	Machine Control	46.5	1.32175781249998	46	48	
	A01	FRET		Unkn	Machine Control	40	6.32474283854117	39	46	
	A01	FRET		Unkn	Machine Control	88.5	62.9257161458321	87.5	96.5	
	A01	FRET		Unkn	Machine Control	79	102.38180501302	75	87	
	A01	FRET		Unkn	Machine Control	22.5	23.5486311848649	22	28.5	
	A01	FRET		Unkn	Machine Control	99.5	28.1286724175347	96.5	100	
	A02	FRET		Unkn	Machine Control	36.5	8.92341308593598	34	44.5	
	A02	FRET		Unkn	Machine Control	45.5	-0.0939290364582348	45	70.5	
	A02	FRET		Unkn	Machine Control	29.5	16.4438720703133	28.5	34	
	A02	FRET		Unkn	Machine Control	79	188.321809895832	75	100	
	A02	FRET		Unkn	Machine Control	22.5	30.3674755859415	21.5	28.5	
	A03	FRET		Unkn	Machine Control	40.5	7.89673990885433	39.5	44.5	
	A03	FRET		Unkn	Machine Control	31	19.569038085937	28.5	37.5	
	A03	FRET		Unkn	Machine Control	45	1.11563639322878	44.5	46	
	A03	FRET		Unkn	Machine Control	39	7.44707194010414	38	39.5	
	A03	FRET		Unkn	Machine Control	22.5	27.5935221354165	22	28.5	
	A03	FRET		Unkn	Machine Control	92.5	50.0537972005203	91.5	95	
	A03	FRET		Unkn	Machine Control	79.5	145.759332682292	75	91.5	
	A03	FRET		Unkn	Machine Control	99.5	32.2924712456595	99	100	
	A03	FRET		Unkn	Machine Control	95.5	38.2310856119799	95	99	
	A04	FRET		Unkn	50mM NaCl	81	58.8355924479156	78.5	91	
	A04	FRET		Unkn	50mM NaCl	76	67.0450227864569	75	78.5	
	A04	FRET		Unkn	50mM NaCl	94.5	25.9195865885426	93.5	96.5	
	A04	FRET		Unkn	50mM NaCl	99.5	40.4493988715276	96.5	100	
	A04	FRET		Unkn	50mM NaCl	70.5	77.9530794270825	69.5	75	
	A04	FRET		Unkn	50mM NaCl	59	185.533118489581	55.5	63.5	
	A04	FRET		Unkn	50mM NaCl	49	222.331998697917	45	55.5	
	A04	FRET		Unkn	50mM NaCl	64.5	110.556715494789	63.5	69	
	A04	FRET		Unkn	50mM NaCl	22.5	123.040999348975	21.5	30.5	
	A05	FRET		Unkn	50mM NaCl	22.5	44.1088346354279	21.5	27.5	
