	Temperature	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
	20	3414.32550781249	3739.62621093753	3495.58056640627	4826.89878906255	3780.05094726566	4125.4429199219	4596.71667968752	5374.73763671877	4350.98451171879	4649.69089843753	4053.70605468755	4405.01742187503	10697.4230078125	7172.59822265629	9780.93425781255	8696.91335937503	10878.6885156251	9918.21558593757	4233.7824902344	4119.56076171876	5019.31902343754	4280.51432617192	4958.00705078127	4387.03784179692	3768.30957031251	4289.38626953129	4575.58359375004	5530.29625000003	4660.80726562502	4291.01114257816	5341.27984375003	4915.57097656254	5144.03066406252	5144.56529296877	4804.26501953127	4177.95287109379	4048.13664062502	3520.49878906253	4209.75853515626	5542.56845703129	3526.30935546877	4674.16757812502	4635.41205078128	5905.21931640628	5961.80525390627	4957.57656250001	5059.89390625004	4773.18724609377	4741.16414062503	4171.27985351564	4357.10703125001	4089.8523242188	3445.17462890629	4368.12152343754	3976.57271484377	3950.98743164068	3997.22410156252	4642.32812500004	3950.09607421877	5340.00890625004	4084.86001953127	3900.62580078129	4236.71442382816	5750.25359375006	5832.26126953127	4364.24793945316	4198.81124023441	5052.79308593752	3826.84285156252	5520.4103710938	5364.5380664063	5369.55654296878	4700.88070312501	4304.7103808594	4046.06333007814	4242.75697265627	5039.79066406252	4678.16111328128	4435.04511718755	3959.19539062502	4233.44972656254	6179.26945312502	4680.18863281251	4189.20271484378	3653.63136718753	4611.33142578126	3786.57923828128	4207.58165039066	4678.41353515627	4662.82574218752	5187.90279296878	6388.264375	6082.91568359379	3555.21104492188	3441.40674804689	3490.91003906251
	20.5	3402.61825195312	3724.52361328128	3481.86687500002	4765.5387304688	3758.17459960941	4093.43606445315	4536.39614257815	5306.18451171877	4312.64445312503	4639.69619140628	4044.36024414067	4391.14851562503	10631.63984375	7127.76396484379	9712.59210937505	8714.96972656253	10815.4892968751	9883.48875000007	4206.8599121094	4097.14547851564	4977.00068359379	4234.88852539068	4895.68814453127	4342.44523437504	3747.72906250001	4248.62052734379	4543.27509765629	5485.90878906253	4614.20410156252	4260.92115234379	5338.92820312503	4864.44839843754	5097.67912109377	5146.47328125002	4796.38457031252	4170.37552734379	4008.15512695314	3504.47717773441	4181.57959960938	5528.07732421879	3507.4940136719	4625.73121093752	4589.29941406253	5843.02507812503	5950.52888671877	4955.36550781251	5058.41552734379	4751.09136718752	4676.85369140628	4131.86358398439	4308.62074218751	4061.28812500005	3427.68834960941	4341.88628906254	3948.54527343752	3921.31851562505	3972.58730468752	4591.26810546879	3912.56032226565	5294.57673828129	4054.57950195315	3881.45159179691	4194.40707031254	5713.45310546881	5813.07748046877	4314.02321289065	4157.04228515628	5018.05306640627	3797.2144433594	5479.69203125005	5340.66121093755	5322.72443359378	4660.74857421876	4266.71250976565	4020.07121093752	4199.21380859377	4979.52011718752	4630.36634765628	4393.97297851568	3936.27696289064	4204.99915039066	6120.50259765627	4616.14279296876	4141.90590820316	3634.52880859378	4576.58099609376	3761.40815429691	4185.62911132816	4650.27033203126	4633.35142578127	5168.74914062503	6350.55390625	6037.81939453129	3536.69632812501	3426.80462890627	3472.91520507814
	21	3390.91099609374	3709.42101562503	3468.15318359377	4704.17867187505	3736.29825195316	4061.4292089844	4476.07560546877	5237.63138671877	4274.30439453128	4629.70148437503	4035.0144335938	4377.27960937503	10565.8566796875	7082.92970703129	9644.24996093755	8733.02609375002	10752.2900781251	9848.76191406257	4179.93733398441	4074.73019531251	4934.68234375004	4189.26272460943	4833.36923828127	4297.85262695317	3727.14855468751	4207.85478515628	4510.96660156255	5441.52132812503	4567.60093750002	4230.83116210941	5336.57656250003	4813.32582031254	5051.32757812502	5148.38126953127	4788.50412109377	4162.79818359379	3968.17361328127	3488.45556640628	4153.40066406251	5513.58619140629	3488.67867187502	4577.29484375002	4543.18677734378	5780.83083984378	5939.25251953127	4953.15445312501	5056.93714843754	4728.99548828127	4612.54324218753	4092.44731445314	4260.13445312501	4032.7239257813	3410.20207031254	4315.65105468754	3920.51783203127	3891.64959960943	3947.95050781252	4540.20808593754	3875.02457031252	5249.14457031254	4024.29898437502	3862.27738281254	4152.09971679691	5676.65261718755	5793.89369140627	4263.79848632815	4115.27333007816	4983.31304687502	3767.58603515627	5438.9736914063	5316.7843554688	5275.89232421878	4620.61644531251	4228.7146386719	3994.07909179689	4155.67064453127	4919.24957031252	4582.57158203128	4352.9008398438	3913.35853515627	4176.54857421879	6061.73574218752	4552.09695312501	4094.60910156253	3615.42625000002	4541.83056640626	3736.23707031253	4163.67657226566	4622.12712890627	4603.87710937502	5149.59548828128	6312.8434375	5992.72310546879	3518.18161132813	3412.20250976565	3454.92037109376
	21.5	3379.20374023437	3694.31841796878	3454.43949218752	4642.81861328129	3714.42190429691	4029.42235351565	4415.7550683594	5169.07826171877	4235.96433593754	4619.70677734378	4025.66862304692	4363.41070312503	10500.0735156251	7038.09544921879	9575.90781250005	8751.08246093752	10689.0908593751	9814.03507812507	4153.01475585941	4052.31491210939	4892.36400390629	4143.63692382818	4771.05033203127	4253.26001953129	3706.56804687501	4167.08904296879	4478.65810546879	5397.13386718752	4520.99777343752	4200.74117187504	5334.22492187503	4762.20324218754	5004.97603515627	5150.28925781252	4780.62367187502	4155.22083984379	3928.1920996094	3472.43395507816	4125.22172851563	5499.09505859379	3469.86333007815	4528.85847656252	4497.07414062503	5718.63660156253	5927.97615234377	4950.94339843751	5055.45876953129	4706.89960937502	4548.23279296878	4053.03104492189	4211.64816406251	4004.15972656255	3392.71579101566	4289.41582031254	3892.49039062502	3861.9806835938	3923.31371093752	4489.14806640628	3837.4888183594	5203.71240234379	3994.0184667969	3843.10317382816	4109.79236328129	5639.8521289063	5774.70990234377	4213.57375976565	4073.50437500003	4948.57302734377	3737.95762695315	5398.25535156255	5292.90750000005	5229.06021484378	4580.48431640626	4190.71676757815	3968.08697265627	4112.12748046877	4858.97902343752	4534.77681640628	4311.82870117193	3890.4401074219	4148.09799804691	6002.96888671877	4488.05111328126	4047.3122949219	3596.32369140627	4507.08013671876	3711.06598632816	4141.72403320316	4593.98392578127	4574.40279296877	5130.44183593753	6275.13296875	5947.62681640629	3499.66689453126	3397.60039062502	3436.92553710939
	22	3367.49648437499	3679.21582031253	3440.72580078127	4581.45855468754	3692.54555664066	3997.4154980469	4355.43453125002	5100.52513671877	4197.62427734379	4609.71207031253	4016.32281250005	4349.54179687502	10434.2903515626	6993.2611914063	9507.56566406255	8769.13882812502	10625.8916406251	9779.30824218757	4126.09217773441	4029.89962890627	4850.04566406254	4098.01112304693	4708.73142578127	4208.66741210942	3685.98753906251	4126.32330078128	4446.34960937505	5352.74640625002	4474.39460937502	4170.65118164066	5331.87328125003	4711.08066406254	4958.62449218752	5152.19724609377	4772.74322265627	4147.64349609379	3888.21058593752	3456.41234375003	4097.04279296875	5484.60392578129	3451.04798828127	4480.42210937502	4450.96150390628	5656.44236328128	5916.69978515627	4948.73234375001	5053.98039062504	4684.80373046877	4483.92234375002	4013.61477539064	4163.16187500001	3975.5955273438	3375.22951171879	4263.18058593754	3864.46294921877	3832.31176757818	3898.67691406252	4438.08804687503	3799.95306640627	5158.28023437504	3963.73794921877	3823.92896484378	4067.48500976566	5603.05164062505	5755.52611328127	4163.34903320315	4031.73541992191	4913.83300781252	3708.32921875002	5357.5370117188	5269.0306445313	5182.22810546878	4540.35218750001	4152.7188964844	3942.09485351564	4068.58431640627	4798.70847656252	4486.98205078128	4270.75656250005	3867.52167968752	4119.64742187503	5944.20203125002	4424.00527343751	4000.01548828128	3577.22113281252	4472.32970703126	3685.89490234378	4119.77149414066	4565.84072265627	4544.92847656252	5111.28818359378	6237.4225	5902.53052734379	3481.15217773438	3382.9982714844	3418.93070312502
	22.5	3355.78922851565	3664.11322265627	3427.01210937502	4520.09849609378	3670.6692089844	3965.40864257815	4295.11399414065	5031.97201171878	4159.28421875003	4599.71736328128	4006.97700195315	4335.67289062503	10368.5071875001	6948.42693359379	9439.22351562506	8787.19519531256	10562.6924218751	9744.58140625006	4099.1695996094	4007.48434570315	4807.72732421878	4052.38532226565	4646.41251953128	4164.07480468753	3665.40703125002	4085.55755859378	4414.04111328128	5308.35894531253	4427.79144531253	4140.56119140628	5329.52164062503	4659.95808593753	4912.27294921878	5154.10523437503	4764.86277343753	4140.06615234378	3848.22907226565	3440.3907324219	4068.8638574219	5470.11279296878	3432.2326464844	4431.98574218753	4404.84886718753	5594.24812500004	5905.42341796879	4946.52128906253	5052.50201171878	4662.70785156253	4419.61189453128	3974.1985058594	4114.67558593753	3947.03132812503	3357.7432324219	4236.94535156253	3836.43550781252	3802.64285156252	3874.04011718752	4387.02802734378	3762.41731445315	5112.84806640628	3933.45743164065	3804.7547558594	4025.17765625003	5566.25115234379	5736.34232421879	4113.12430664065	3989.96646484378	4879.09298828128	3678.7008105469	5316.81867187503	5245.15378906253	5135.39599609378	4500.22005859378	4114.72102539065	3916.10273437502	4025.04115234377	4738.43792968753	4439.18728515628	4229.68442382815	3844.60325195315	4091.19684570315	5885.43517578129	4359.95943359378	3952.71868164065	3558.11857421877	4437.57927734378	3660.7238183594	4097.81895507815	4537.69751953128	4515.45416015628	5092.13453125003	6199.71203125004	5857.43423828129	3462.63746093752	3368.39615234377	3400.93586914065
	23	3344.08197265627	3649.01062500002	3413.29841796877	4458.73843750003	3648.79286132815	3933.4017871094	4234.79345703128	4963.41888671878	4120.94416015627	4589.72265625003	3997.63119140627	4321.80398437503	10302.7240234376	6903.59267578129	9370.88136718756	8805.25156250005	10499.4932031251	9709.85457031256	4072.2470214844	3985.06906250002	4765.40898437503	4006.7595214844	4584.09361328128	4119.48219726565	3644.82652343752	4044.79181640627	4381.73261718753	5263.97148437503	4381.18828125003	4110.4712011719	5327.17000000003	4608.83550781253	4865.92140625003	5156.01322265628	4756.98232421878	4132.48880859378	3808.24755859377	3424.36912109377	4040.68492187502	5455.62166015628	3413.41730468752	4383.54937500003	4358.73623046878	5532.05388671878	5894.14705078129	4944.31023437503	5051.02363281253	4640.61197265628	4355.30144531253	3934.78223632815	4066.18929687503	3918.46712890627	3340.25695312502	4210.71011718752	3808.40806640627	3772.9739355469	3849.40332031252	4335.96800781253	3724.88156250002	5067.41589843753	3903.17691406252	3785.58054687502	3982.8703027344	5529.45066406253	5717.15853515629	4062.89958007815	3948.19750976565	4844.35296875003	3649.07240234377	5276.10033203128	5221.27693359378	5088.56388671878	4460.08792968753	4076.7231542969	3890.1106152344	3981.49798828127	4678.16738281253	4391.39251953128	4188.61228515628	3821.68482421877	4062.74626953128	5826.66832031254	4295.91359375003	3905.42187500002	3539.01601562502	4402.82884765628	3635.55273437502	4075.86641601565	4509.55431640628	4485.97984375003	5072.98087890628	6162.00156250004	5812.33794921879	3444.12274414065	3353.79403320315	3382.94103515627
	23.5	3333.17943359377	3634.8817089844	3400.58156250002	4399.30367187503	3629.0533496094	3903.6486621094	4177.5119042969	4895.78886718753	4083.96363281253	4578.88375000003	3987.79009765627	4307.11501953128	10239.6540625001	6861.05001953129	9305.74980468756	8832.31949218755	10448.0456250001	9687.02671875006	4047.9065136719	3964.71382812502	4726.02742187503	3963.28325195315	4523.69154296878	4077.09849609378	3626.1328417969	4007.42391601565	4351.12566406253	5219.05087890628	4336.09777343753	4081.44645507815	5324.87621093753	4558.38656250003	4819.66667968753	5155.40587890628	4748.98398437503	4126.16255859378	3771.36916015627	3409.66642578127	4013.69546875003	5441.59746093753	3395.50833984377	4336.08931640628	4313.67679687503	5469.12910156253	5879.15437500004	4942.41597656253	5049.78152343753	4619.75722656253	4293.09996093753	3897.34958984377	4020.91669921878	3891.3608496094	3323.80222656252	4185.88275390628	3780.79274414065	3744.89394531252	3826.6944433594	4286.50798828128	3689.71477539065	5022.65955078128	3874.82219726565	3768.0669042969	3943.25243164065	5491.40228515628	5696.88896484379	4014.89114257815	3908.21750000002	4809.56402343753	3621.15872070315	5236.16199218753	5196.43638671878	5039.13275390628	4423.00373046878	4040.54900390627	3866.85325195315	3940.81582031252	4619.53109375003	4346.20201171878	4150.3648730469	3800.8584667969	4037.59207031253	5766.23835937504	4234.6399121094	3860.2176855469	3520.90242187502	4369.14996093753	3611.95848632815	4057.44070312503	4488.52375000003	4462.53656250003	5054.39458984378	6125.00800781254	5767.25587890629	3426.38481445315	3339.64138671877	3366.09042968752
	24	3322.4510839844	3621.90171875002	3388.18046875002	4341.95464843753	3611.07387695315	3875.57449218752	4123.0082714844	4828.47884765628	4048.0983886719	4567.29539062503	3977.82849609377	4292.41972656253	10177.5776171876	6820.25630859379	9242.72828125006	8865.47953125005	10406.9920312501	9674.46625000006	4026.1381152344	3946.0443652344	4688.98378906253	3921.46754882815	4465.09894531253	4036.59851562502	3608.83916015627	3973.49810546877	4321.65875000003	5172.88607421878	4292.66410156253	4052.91063476565	5322.26822265628	4508.56652343753	4772.89351562503	5152.71957031253	4741.62978515628	4121.07734375003	3736.73024414065	3396.14585937502	3987.67546875002	5427.15591796878	3378.1772949219	4289.11775390628	4269.21472656253	5405.93167968753	5861.19273437504	4941.07216796878	5048.07261718753	4600.20304687503	4232.3521386719	3861.4953417969	3978.73145507815	3865.10037109377	3308.43330078127	4162.49800781253	3754.06482421877	3718.76610351565	3805.61184570315	4238.99269531253	3656.65322265627	4978.62427734378	3848.87012695315	3752.46958984377	3906.1198339844	5452.31542968753	5675.59945312504	3968.86903320315	3870.09012695315	4774.13662109378	3594.79923828127	5196.69416015628	5171.12005859378	4988.25318359378	4388.90273437503	4005.90273437502	3845.94485351565	3902.50793945315	4562.35326171878	4303.24511718753	4115.35273437503	3782.90214843752	4015.0394824219	5705.10525390628	4176.8694433594	3817.5387402344	3503.9745996094	4335.97687500003	3590.0811230469	4042.2070996094	4474.71269531253	4444.53753906253	5036.13675781253	6088.86968750004	5721.84583984379	3409.33787109377	3326.56615234377	3350.5103808594
	24.5	3312.02640625002	3610.18751953127	3376.4188574219	4286.77568359378	3595.30232421877	3849.44665039065	4070.60673828128	4762.34298828128	4013.33734375003	4555.64287109378	3968.35742187502	4278.19070312503	10117.6607031251	6781.87046875004	9181.60730468756	8905.87953125006	10378.1816406251	9673.78835937506	4006.8917480469	3928.8391308594	4654.78693359378	3881.89180664065	4408.85632812503	3998.69330078128	3593.48863281252	3942.47910156252	4294.30716796878	5126.93712890628	4251.03308593753	4025.54274414065	5320.21296875003	4459.70857421878	4725.95828125003	5149.25166015628	4735.34134765628	4118.68683593753	3704.02916015627	3383.50582031252	3963.15230468752	5412.47173828128	3361.3920605469	4242.61359375003	4226.05679687503	5342.42111328128	5840.11798828129	4940.62365234378	5047.21742187503	4582.94837890628	4174.20425781253	3827.40216796877	3939.68984375002	3840.12301757815	3294.28330078127	4141.2942480469	3728.73110351565	3694.3519042969	3785.88188476565	4193.06954101565	3625.3648339844	4936.82056640628	3824.8386230469	3738.63750976565	3872.29563476565	5412.86707031253	5653.36994140629	3925.19640625003	3833.35908203127	4738.81605468753	3569.95075195315	5158.22953125003	5145.92746093753	4937.93152343753	4357.98011718753	3972.59961914065	3828.0590917969	3866.98742187502	4506.01861328128	4262.80033203128	4083.45906250003	3767.9732714844	3995.58273437502	5642.33369140629	4123.65312500003	3777.9966308594	3488.30617187502	4303.57537109378	3569.27640625002	4031.05711914065	4468.83734375003	4432.67384765628	5019.55261718753	6054.26287109379	5677.37574218754	3392.8356542969	3315.0278027344	3336.45665039065
