	Well	Fluor	Target	Content	Sample	Melt Temp
	A01	FRET		Unkn	Machine Control	88.5
	A01	FRET		Unkn	Machine Control	79
	A02	FRET		Unkn	Machine Control	22.5
	A02	FRET		Unkn	Machine Control	79
	A03	FRET		Unkn	Machine Control	92.5
	A03	FRET		Unkn	Machine Control	79.5
	A04	FRET		Unkn	50mM NaCl	59
	A04	FRET		Unkn	50mM NaCl	49
	A05	FRET		Unkn	50mM NaCl	58.5
	A05	FRET		Unkn	50mM NaCl	48.5
	A06	FRET		Unkn	50mM NaCl	59
	A06	FRET		Unkn	50mM NaCl	49
	A07	FRET		Unkn	200mM NaCl	22.5
	A07	FRET		Unkn	200mM NaCl	48.5
	A08	FRET		Unkn	200mM NaCl	22.5
	A08	FRET		Unkn	200mM NaCl	49
	A09	FRET		Unkn	200mM NaCl	58.5
	A09	FRET		Unkn	200mM NaCl	49
	A10	FRET		Unkn	Protein Only	59
	A10	FRET		Unkn	Protein Only	31
	A11	FRET		Unkn	Protein Only	59
	A11	FRET		Unkn	Protein Only	49.5
	A12	FRET		Unkn	Protein Only	31
	A12	FRET		Unkn	Protein Only	46.5
	B01	FRET		Unkn	sodium acetate - acetic acid, pH=5.0 + 50mM NaCl	22.5
	B01	FRET		Unkn	sodium acetate - acetic acid, pH=5.0 + 50mM NaCl	42.5
	B02	FRET		Unkn	sodium acetate - acetic acid, pH=5.0 + 50mM NaCl	36.5
	B02	FRET		Unkn	sodium acetate - acetic acid, pH=5.0 + 50mM NaCl	22.5
	B03	FRET		Unkn	sodium acetate - acetic acid, pH=5.0 + 50mM NaCl	22.5
	B03	FRET		Unkn	sodium acetate - acetic acid, pH=5.0 + 50mM NaCl	40
	B04	FRET		Unkn	sodium acetate - acetic acid, pH=5.0 + 200mM NaCl	58.5
	B04	FRET		Unkn	sodium acetate - acetic acid, pH=5.0 + 200mM NaCl	38.5
	B05	FRET		Unkn	sodium acetate - acetic acid, pH=5.0 + 200mM NaCl	22.5
	B05	FRET		Unkn	sodium acetate - acetic acid, pH=5.0 + 200mM NaCl	37.5
	B06	FRET		Unkn	sodium acetate - acetic acid, pH=5.0 + 200mM NaCl	59
	B06	FRET		Unkn	sodium acetate - acetic acid, pH=5.0 + 200mM NaCl	37.5
	B07	FRET		Unkn	piperazine, pH=5.5 + 50mM NaCl	58.5
	B07	FRET		Unkn	piperazine, pH=5.5 + 50mM NaCl	43
	B08	FRET		Unkn	piperazine, pH=5.5 + 50mM NaCl	95.5
	B08	FRET		Unkn	piperazine, pH=5.5 + 50mM NaCl	43
	B09	FRET		Unkn	piperazine, pH=5.5 + 50mM NaCl	58.5
	B09	FRET		Unkn	piperazine, pH=5.5 + 50mM NaCl	44
	B10	FRET		Unkn	piperazine, pH=5.5 + 200mM NaCl	58.5
	B10	FRET		Unkn	piperazine, pH=5.5 + 200mM NaCl	46
	B11	FRET		Unkn	piperazine, pH=5.5 + 200mM NaCl	51
	B11	FRET		Unkn	piperazine, pH=5.5 + 200mM NaCl	59
	B12	FRET		Unkn	piperazine, pH=5.5 + 200mM NaCl	59
	B12	FRET		Unkn	piperazine, pH=5.5 + 200mM NaCl	47
	C01	FRET		Unkn	sodium MES, pH=6.0 + 50mM NaCl	50.5
	C01	FRET		Unkn	sodium MES, pH=6.0 + 50mM NaCl	59
	C02	FRET		Unkn	sodium MES, pH=6.0 + 50mM NaCl	59
	C02	FRET		Unkn	sodium MES, pH=6.0 + 50mM NaCl	50.5
	C03	FRET		Unkn	sodium MES, pH=6.0 + 50mM NaCl	50.5
	C03	FRET		Unkn	sodium MES, pH=6.0 + 50mM NaCl	59
