Well	Condition Variable 1	Condition Variable 2	pH	d(pH)/dT	Control
A1	Lysozyme				1
A2	Lysozyme				1
A3	Lysozyme				1
A4	Salt Only	1			
A5	Salt Only	2			
A6	Salt Only	3			
A7	Salt Only	4			
A8	Salt Only	5			
A9	Salt Only	6			
A10	No Dye				1
A11	No Dye				1
A12	No Dye				1
B1	sodium acetate - acetic acid	1	5		
B2	sodium acetate - acetic acid	2	5		
B3	sodium acetate - acetic acid	3	5		
B4	sodium acetate - acetic acid	4	5		
B5	sodium acetate - acetic acid	5	5		
B6	sodium acetate - acetic acid	6	5		
B7	piperazine	7	5.5	-0.01821	
B8	piperazine	8	5.5	-0.01821	
B9	piperazine	9	5.5	-0.01821	
B10	piperazine	10	5.5	-0.01821	
B11	piperazine	11	5.5	-0.01821	
B12	piperazine	12	5.5	-0.01821	
C1	sodium MES	1	6	-0.00775	
C2	sodium MES	2	6	-0.00775	
C3	sodium MES	3	6	-0.00775	
C4	sodium MES	4	6	-0.00775	
C5	sodium MES	5	6	-0.00775	
C6	sodium MES	6	6	-0.00775	
C7	trisodium citrate - citric acid	7	6	0.0039	
C8	trisodium citrate - citric acid	8	6	0.0039	
C9	trisodium citrate - citric acid	9	6	0.0039	
C10	trisodium citrate - citric acid	10	6	0.0039	
C11	trisodium citrate - citric acid	11	6	0.0039	
C12	trisodium citrate - citric acid	12	6	0.0039	
D1	bis-tris chloride	1	6.5	-0.013	
D2	bis-tris chloride	2	6.5	-0.013	
D3	bis-tris chloride	3	6.5	-0.013	
D4	bis-tris chloride	4	6.5	-0.013	
D5	bis-tris chloride	5	6.5	-0.013	
D6	bis-tris chloride	6	6.5	-0.013	
D7	ADA	7	6.5	-0.0035	
D8	ADA	8	6.5	-0.0035	
D9	ADA	9	6.5	-0.0035	
D10	ADA	10	6.5	-0.0035	
D11	ADA	11	6.5	-0.0035	
D12	ADA	12	6.5	-0.0035	
E1	imidazole	1	7	-0.017	
E2	imidazole	2	7	-0.017	
E3	imidazole	3	7	-0.017	
E4	imidazole	4	7	-0.017	
E5	imidazole	5	7	-0.017	
E6	imidazole	6	7	-0.017	
E7	sodium MOPS	7	7	-0.00825	
E8	sodium MOPS	8	7	-0.00825	
E9	sodium MOPS	9	7	-0.00825	
E10	sodium MOPS	10	7	-0.00825	
E11	sodium MOPS	11	7	-0.00825	
E12	sodium MOPS	12	7	-0.00825	
F1	sodium HEPES	1	7.5	-0.006	
F2	sodium HEPES	2	7.5	-0.006	
F3	sodium HEPES	3	7.5	-0.006	
F4	sodium HEPES	4	7.5	-0.006	
F5	sodium HEPES	5	7.5	-0.006	
F6	sodium HEPES	6	7.5	-0.006	
F7	Na2H/KH2 phosphate	7	7.5	0.0055	
F8	Na2H/KH2 phosphate	8	7.5	0.0055	
F9	Na2H/KH2 phosphate	9	7.5	0.0055	
F10	Na2H/KH2 phosphate	10	7.5	0.0055	
F11	Na2H/KH2 phosphate	11	7.5	0.0055	
F12	Na2H/KH2 phosphate	12	7.5	0.0055	
G1	tris chloride	1	8	-0.02025	
G2	tris chloride	2	8	-0.02025	
G3	tris chloride	3	8	-0.02025	
G4	tris chloride	4	8	-0.02025	
G5	tris chloride	5	8	-0.02025	
G6	tris chloride	6	8	-0.02025	
G7	glycyl-glycine	7	8.5	-0.01675	
G8	glycyl-glycine	8	8.5	-0.01675	
G9	glycyl-glycine	9	8.5	-0.01675	
G10	glycyl-glycine	10	8.5	-0.01675	
G11	glycyl-glycine	11	8.5	-0.01675	
G12	glycyl-glycine	12	8.5	-0.01675	
H1	Protein as supplied				1
H2	Protein as supplied				1
H3	Protein as supplied				1
H4	CHES	1	9	-0.012	
H5	CHES	2	9	-0.012	
H6	CHES	3	9	-0.012	
H7	CHES	4	9	-0.012	
H8	CHES	5	9	-0.012	
H9	CHES	6	9	-0.012	
H10	No Protein				1
H11	No Protein				1
H12	No Protein				1
