Temperature	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
20	3414.325508	3739.626211	3495.580566	4826.898789	3780.050947	4125.44292	4596.71668	5374.737637	4350.984512	4649.690898	4053.706055	4405.017422	10697.42301	7172.598223	9780.934258	8696.913359	10878.68852	9918.215586	4233.78249	4119.560762	5019.319023	4280.514326	4958.007051	4387.037842	3768.30957	4289.38627	4575.583594	5530.29625	4660.807266	4291.011143	5341.279844	4915.570977	5144.030664	5144.565293	4804.26502	4177.952871	4048.136641	3520.498789	4209.758535	5542.568457	3526.309355	4674.167578	4635.412051	5905.219316	5961.805254	4957.576563	5059.893906	4773.187246	4741.164141	4171.279854	4357.107031	4089.852324	3445.174629	4368.121523	3976.572715	3950.987432	3997.224102	4642.328125	3950.096074	5340.008906	4084.86002	3900.625801	4236.714424	5750.253594	5832.26127	4364.247939	4198.81124	5052.793086	3826.842852	5520.410371	5364.538066	5369.556543	4700.880703	4304.710381	4046.06333	4242.756973	5039.790664	4678.161113	4435.045117	3959.195391	4233.449727	6179.269453	4680.188633	4189.202715	3653.631367	4611.331426	3786.579238	4207.58165	4678.413535	4662.825742	5187.902793	6388.264375	6082.915684	3555.211045	3441.406748	3490.910039
21	3390.910996	3709.421016	3468.153184	4704.178672	3736.298252	4061.429209	4476.075605	5237.631387	4274.304395	4629.701484	4035.014434	4377.279609	10565.85668	7082.929707	9644.249961	8733.026094	10752.29008	9848.761914	4179.937334	4074.730195	4934.682344	4189.262725	4833.369238	4297.852627	3727.148555	4207.854785	4510.966602	5441.521328	4567.600938	4230.831162	5336.576563	4813.32582	5051.327578	5148.38127	4788.504121	4162.798184	3968.173613	3488.455566	4153.400664	5513.586191	3488.678672	4577.294844	4543.186777	5780.83084	5939.25252	4953.154453	5056.937148	4728.995488	4612.543242	4092.447314	4260.134453	4032.723926	3410.20207	4315.651055	3920.517832	3891.6496	3947.950508	4540.208086	3875.02457	5249.14457	4024.298984	3862.277383	4152.099717	5676.652617	5793.893691	4263.798486	4115.27333	4983.313047	3767.586035	5438.973691	5316.784355	5275.892324	4620.616445	4228.714639	3994.079092	4155.670645	4919.24957	4582.571582	4352.90084	3913.358535	4176.548574	6061.735742	4552.096953	4094.609102	3615.42625	4541.830566	3736.23707	4163.676572	4622.127129	4603.877109	5149.595488	6312.843438	5992.723105	3518.181611	3412.20251	3454.920371
22	3367.496484	3679.21582	3440.725801	4581.458555	3692.545557	3997.415498	4355.434531	5100.525137	4197.624277	4609.71207	4016.322813	4349.541797	10434.29035	6993.261191	9507.565664	8769.138828	10625.89164	9779.308242	4126.092178	4029.899629	4850.045664	4098.011123	4708.731426	4208.667412	3685.987539	4126.323301	4446.349609	5352.746406	4474.394609	4170.651182	5331.873281	4711.080664	4958.624492	5152.197246	4772.743223	4147.643496	3888.210586	3456.412344	4097.042793	5484.603926	3451.047988	4480.422109	4450.961504	5656.442363	5916.699785	4948.732344	5053.980391	4684.80373	4483.922344	4013.614775	4163.161875	3975.595527	3375.229512	4263.180586	3864.462949	3832.311768	3898.676914	4438.088047	3799.953066	5158.280234	3963.737949	3823.928965	4067.48501	5603.051641	5755.526113	4163.349033	4031.73542	4913.833008	3708.329219	5357.537012	5269.030645	5182.228105	4540.352188	4152.718896	3942.094854	4068.584316	4798.708477	4486.982051	4270.756563	3867.52168	4119.647422	5944.202031	4424.005273	4000.015488	3577.221133	4472.329707	3685.894902	4119.771494	4565.840723	4544.928477	5111.288184	6237.4225	5902.530527	3481.152178	3382.998271	3418.930703
23	3344.081973	3649.010625	3413.298418	4458.738438	3648.792861	3933.401787	4234.793457	4963.418887	4120.94416	4589.722656	3997.631191	4321.803984	10302.72402	6903.592676	9370.881367	8805.251563	10499.4932	9709.85457	4072.247021	3985.069063	4765.408984	4006.759521	4584.093613	4119.482197	3644.826523	4044.791816	4381.732617	5263.971484	4381.188281	4110.471201	5327.17	4608.835508	4865.921406	5156.013223	4756.982324	4132.488809	3808.247559	3424.369121	4040.684922	5455.62166	3413.417305	4383.549375	4358.73623	5532.053887	5894.147051	4944.310234	5051.023633	4640.611973	4355.301445	3934.782236	4066.189297	3918.467129	3340.256953	4210.710117	3808.408066	3772.973936	3849.40332	4335.968008	3724.881563	5067.415898	3903.176914	3785.580547	3982.870303	5529.450664	5717.158535	4062.89958	3948.19751	4844.352969	3649.072402	5276.100332	5221.276934	5088.563887	4460.08793	4076.723154	3890.110615	3981.497988	4678.167383	4391.39252	4188.612285	3821.684824	4062.74627	5826.66832	4295.913594	3905.421875	3539.016016	4402.828848	3635.552734	4075.866416	4509.554316	4485.979844	5072.980879	6162.001563	5812.337949	3444.122744	3353.794033	3382.941035
24	3322.451084	3621.901719	3388.180469	4341.954648	3611.073877	3875.574492	4123.008271	4828.478848	4048.098389	4567.295391	3977.828496	4292.419727	10177.57762	6820.256309	9242.728281	8865.479531	10406.99203	9674.46625	4026.138115	3946.044365	4688.983789	3921.467549	4465.098945	4036.598516	3608.83916	3973.498105	4321.65875	5172.886074	4292.664102	4052.910635	5322.268223	4508.566523	4772.893516	5152.71957	4741.629785	4121.077344	3736.730244	3396.145859	3987.675469	5427.155918	3378.177295	4289.117754	4269.214727	5405.93168	5861.192734	4941.072168	5048.072617	4600.203047	4232.352139	3861.495342	3978.731455	3865.100371	3308.433301	4162.498008	3754.064824	3718.766104	3805.611846	4238.992695	3656.653223	4978.624277	3848.870127	3752.46959	3906.119834	5452.31543	5675.599453	3968.869033	3870.090127	4774.136621	3594.799238	5196.69416	5171.120059	4988.253184	4388.902734	4005.902734	3845.944854	3902.507939	4562.353262	4303.245117	4115.352734	3782.902148	4015.039482	5705.105254	4176.869443	3817.53874	3503.9746	4335.976875	3590.081123	4042.2071	4474.712695	4444.537539	5036.136758	6088.869688	5721.84584	3409.337871	3326.566152	3350.510381
25	3301.740645	3599.117002	3365.423008	4233.575732	3581.256045	3824.598242	4020.065205	4696.578184	3979.436865	4543.356641	3958.974268	4264.69957	10059.3268	6744.129336	9121.844219	8952.782148	10360.44047	9685.245156	3989.98958	3913.977021	4623.591172	3844.103945	4354.357441	3963.095967	3580.116533	3914.985342	4269.470879	5080.405586	4210.24207	3999.357471	5318.601387	4410.947969	4678.15252	5145.408457	4730.511309	4118.151035	3672.978076	3371.576309	3940.001221	5396.507559	3345.333145	4196.477842	4183.862598	5277.713711	5815.977441	4941.994141	5046.520039	4567.630547	4118.203682	3795.037393	3903.459268	3816.012461	3281.020137	4121.945293	3704.083193	3671.870859	3768.045078	4148.219063	3595.735352	4897.16582	3801.903955	3726.229121	3841.283555	5371.716602	5629.424727	3883.411143	3798.102803	4703.208125	3546.713818	5120.126992	5120.800117	4887.675137	4329.469023	3939.865986	3812.344414	3833.060059	4450.854473	4224.902402	4054.764824	3755.743828	3979.073867	5578.115332	4074.425811	3740.871875	3473.464541	4271.242207	3549.624336	4024.623926	4471.544063	4427.268574	5003.955371	6019.366504	5633.278867	3377.041885	3304.519414	3322.99291
26	3281.919492	3578.918047	3343.362383	4133.082148	3558.72918	3780.725576	3924.110576	4567.346055	3914.06748	4518.615156	3941.724902	4240.345723	9949.001914	6672.082422	9008.496875	9064.829883	10358.07969	9741.351875	3964.892666	3890.07749	4569.711152	3773.39293	4250.27332	3897.823975	3559.621221	3871.149434	4226.636875	4986.729414	4130.763711	3949.403281	5317.477324	4314.696816	4582.526191	5140.373672	4725.210137	4123.279336	3614.107998	3351.18042	3897.674805	5362.569785	3314.711592	4105.107422	4102.427842	5147.130996	5759.548535	4950.614688	5049.638457	4541.564824	4013.63207	3736.34375	3839.946992	3769.673994	3257.273213	4088.551094	3658.270098	3631.602393	3737.228271	4063.427656	3541.344736	4821.484219	3760.712441	3707.044395	3789.330537	5285.970215	5574.694355	3803.998467	3732.244873	4630.378633	3504.064814	5042.607598	5074.353223	4788.301035	4282.162617	3877.490244	3787.998164	3769.734805	4343.889746	4160.177207	4008.021045	3740.864365	3956.021865	5444.778477	3987.176006	3675.870742	3446.654912	4206.956367	3513.661182	4025.069648	4509.076621	4439.435488	4977.153945	5950.312051	5548.167188	3346.158047	3285.790039	3296.910762
27	3263.70999	3561.088047	3322.558125	4042.444375	3545.534316	3744.60916	3834.876406	4445.703496	3853.127539	4494.392422	3925.024961	4217.721973	9850.327773	6599.752891	8901.287891	9201.979297	10395.06605	9835.224141	3952.764756	3878.167998	4532.732227	3710.692891	4154.227559	3841.095557	3550.634336	3844.037275	4196.445449	4892.707324	4054.702227	3901.410762	5319.051094	4220.233145	4491.153613	5139.601035	4726.673203	4134.793965	3561.179512	3336.175625	3861.915254	5325.967129	3287.320039	4018.565352	4026.234756	5015.104141	5691.970645	4968.346348	5057.795254	4521.237852	3921.470039	3687.882197	3790.062676	3726.936006	3236.524248	4061.731699	3617.222783	3599.740137	3714.467783	3984.99084	3494.974688	4750.466328	3724.578662	3695.401221	3751.71958	5196.640059	5507.442832	3731.723164	3674.093711	4555.473184	3466.613213	4964.424453	5036.371523	4689.285371	4246.954648	3821.497578	3774.421846	3714.163145	4242.771172	4112.182686	3979.613076	3738.866494	3949.14708	5308.784707	3913.500273	3622.557002	3423.68583	4146.068438	3481.491182	4046.905889	4596.807129	4489.892305	4956.298184	5884.724609	5470.232539	3317.416514	3267.088994	3272.989141
28	3247.167383	3545.154375	3303.239209	3968.223359	3542.782627	3719.94917	3757.972754	4338.220469	3799.415391	4472.093301	3908.790723	4194.331523	9759.296406	6527.737734	8801.675234	9350.747305	10460.69602	9946.754688	3956.094229	3881.137559	4514.634355	3657.168105	4070.754844	3792.606484	3554.69543	3835.059443	4180.992344	4799.415664	3986.101836	3856.074014	5320.754355	4130.818438	4407.737969	5139.634766	4734.039414	4148.892402	3518.323701	3329.752461	3835.121563	5289.375977	3264.972686	3941.201699	3957.669072	4889.477363	5616.982793	4991.621113	5067.43	4504.860352	3844.954385	3652.594795	3756.884756	3688.476572	3219.542266	4041.270098	3581.502334	3579.47001	3700.463018	3917.324922	3458.724229	4683.05543	3697.571133	3694.375439	3728.8754	5106.881895	5428.508516	3668.465889	3624.932539	4483.35082	3435.145342	4885.253848	5005.893008	4593.304922	4226.07416	3773.979639	3774.025957	3668.215205	4151.627939	4075.317588	3972.247842	3752.410801	3961.161719	5178.224102	3853.486035	3582.637998	3404.048408	4093.538477	3455.434863	4090.555322	4741.914141	4586.288574	4942.379609	5828.501582	5400.404727	3291.50873	3247.887373	3251.623467
29	3231.994277	3529.820225	3285.971533	3918.062861	3553.042539	3709.747031	3696.095928	4246.909463	3754.104785	4449.47998	3891.760195	4167.525254	9672.446484	6459.65207	8713.371602	9491.127891	10543.38805	10058.91902	3976.03792	3900.64292	4519.780703	3615.062207	4004.450547	3751.246357	3574.185498	3846.291631	4186.480078	4711.076699	3927.150332	3815.966611	5320.625371	4049.629521	4331.444883	5136.745371	4743.542559	4158.701973	3487.568525	3331.367217	3820.06001	5254.254785	3246.85792	3874.560039	3898.708682	4773.559473	5537.270117	5015.726914	5071.941094	4490.504551	3787.662383	3632.462021	3742.713818	3656.253496	3205.066553	4028.342744	3551.520195	3572.583252	3695.186582	3859.014287	3429.485322	4619.67752	3681.805264	3705.42498	3722.724355	5018.840293	5337.360488	3614.617549	3583.823633	4416.673828	3408.864727	4804.447324	4976.963535	4502.17748	4221.506875	3734.353867	3788.080117	3629.880996	4073.211719	4040.225996	3985.472139	3784.493457	3994.528467	5057.67252	3805.612295	3553.250127	3385.777852	4049.505879	3434.941719	4157.303799	4952.13748	4731.965918	4935.075762	5776.943301	5337.01582	3268.512012	3229.319961	3231.245723
