Temperature	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
20	8885.895195	7979.083984	7443.778242	4063.681035	4012.667832	4057.258027	4444.687617	4234.430068	4266.513008	2992.083379	3018.754316	2952.697188	4031.837178	4328.251602	3929.371162	4224.879707	4634.973594	5073.100586	4547.808574	4361.774941	4287.844102	4477.863262	4756.183574	4878.252305	3876.937549	3889.717168	3945.884258	4032.77248	4158.216436	4450.254609	4567.282188	4733.868398	4817.723828	5497.085645	4400.850137	4779.46209	4196.307725	3842.733389	4065.113164	4433.891445	4419.856152	4515.35877	4685.602168	4415.213711	4490.468301	5020.251055	4837.680488	4770.250215	3789.948027	3968.694229	3952.234004	4392.734707	4508.439141	4004.125908	4361.885605	4312.67209	6006.601113	4688.940254	4833.558457	4907.207422	3834.233271	4336.342822	4225.830146	3848.798242	4307.936982	4464.170098	4458.83252	5046.478301	4473.753652	4509.688281	5179.612344	4369.741738	5584.270215	5953.962617	5488.816289	5876.178516	5090.321777	5090.67793	5493.948809	5858.775605	10860.01141	6228.265391	6848.976914	5222.473457	5419.948164	5001.595176	5203.191621	4520.629355	4347.489863	4230.046553	4746.391406	4514.755371	4184.078105	3888.925293	3867.189893	3885.870693
20.5	8763.90834	7892.258789	7348.532383	4054.321553	3995.717227	4034.711182	4420.588145	4210.083252	4244.643994	2989.270732	3014.381113	2955.008271	4014.624619	4306.819043	3918.634326	4201.192393	4602.078867	5059.971113	4519.595391	4338.062852	4266.923047	4452.460645	4728.947266	4841.65541	3860.425996	3876.54291	3929.880059	4013.514551	4136.680645	4428.900938	4539.387988	4703.385293	4784.618027	5458.284004	4377.901172	4741.817852	4183.332539	3830.527588	4048.204668	4408.309316	4396.780938	4494.026191	4660.986328	4392.914746	4464.54623	4990.781133	4811.477852	4743.145449	3776.692754	3950.631592	3933.439785	4366.728379	4480.912891	3983.61751	4341.12709	4292.162598	5983.454844	4664.165488	4802.691152	4873.934805	3822.133828	4310.517578	4203.13749	3834.044512	4281.820674	4435.425371	4433.872539	5020.266191	4455.559961	4490.112461	5147.438145	4353.45916	5573.003418	5928.710078	5465.36627	5845.58998	5071.000234	5053.601074	5466.290371	5840.794043	10806.93738	6204.23125	6817.740527	5188.640313	5370.710879	4959.814688	5150.269531	4494.6925	4326.144668	4214.556504	4715.540391	4487.657441	4168.246533	3874.531094	3853.194082	3866.796406
21	8641.921484	7805.433594	7253.286523	4044.96207	3978.766621	4012.164336	4396.488672	4185.736436	4222.77498	2986.458086	3010.00791	2957.319355	3997.412061	4285.386484	3907.89749	4177.505078	4569.184141	5046.841641	4491.382207	4314.350762	4246.001992	4427.058027	4701.710957	4805.058516	3843.914443	3863.368652	3913.875859	3994.256621	4115.144854	4407.547266	4511.493789	4672.902188	4751.512227	5419.482363	4354.952207	4704.173613	4170.357354	3818.321787	4031.296172	4382.727188	4373.705723	4472.693613	4636.370488	4370.615781	4438.62416	4961.311211	4785.275215	4716.040684	3763.43748	3932.568955	3914.645566	4340.722051	4453.386641	3963.109111	4320.368574	4271.653105	5960.308574	4639.390723	4771.823848	4840.662188	3810.034385	4284.692334	4180.444834	3819.290781	4255.704365	4406.680645	4408.912559	4994.054082	4437.36627	4470.536641	5115.263945	4337.176582	5561.736621	5903.457539	5441.91625	5815.001445	5051.678691	5016.524219	5438.631934	5822.81248	10753.86336	6180.197109	6786.504141	5154.807168	5321.473594	4918.034199	5097.347441	4468.755645	4304.799473	4199.066455	4684.689375	4460.559512	4152.414961	3860.136895	3839.198271	3847.722119
21.5	8519.934629	7718.608398	7158.040664	4035.602588	3961.816016	3989.61749	4372.389199	4161.389619	4200.905967	2983.645439	3005.634707	2959.630439	3980.199502	4263.953926	3897.160654	4153.817764	4536.289414	5033.712168	4463.169023	4290.638672	4225.080938	4401.65541	4674.474648	4768.461621	3827.402891	3850.194395	3897.87166	3974.998691	4093.609063	4386.193594	4483.59959	4642.419082	4718.406426	5380.680723	4332.003242	4666.529375	4157.382168	3806.115986	4014.387676	4357.145059	4350.630508	4451.361035	4611.754648	4348.316816	4412.70209	4931.841289	4759.072578	4688.935918	3750.182207	3914.506318	3895.851348	4314.715723	4425.860391	3942.600713	4299.610059	4251.143613	5937.162305	4614.615957	4740.956543	4807.38957	3797.934941	4258.86709	4157.752178	3804.537051	4229.588057	4377.935918	4383.952578	4967.841973	4419.172578	4450.96082	5083.089746	4320.894004	5550.469824	5878.205	5418.46623	5784.41291	5032.357148	4979.447363	5410.973496	5804.830918	10700.78934	6156.162969	6755.267754	5120.974023	5272.236309	4876.253711	5044.425352	4442.818789	4283.454277	4183.576406	4653.838359	4433.461582	4136.583389	3845.742695	3825.202461	3828.647832
22	8397.947773	7631.783203	7062.794805	4026.243105	3944.86541	3967.070645	4348.289727	4137.042803	4179.036953	2980.832793	3001.261504	2961.941523	3962.986943	4242.521367	3886.423818	4130.130449	4503.394688	5020.582695	4434.95584	4266.926582	4204.159883	4376.252793	4647.23834	4731.864727	3810.891338	3837.020137	3881.867461	3955.740762	4072.073271	4364.839922	4455.705391	4611.935977	4685.300625	5341.879082	4309.054277	4628.885137	4144.406982	3793.910186	3997.47918	4331.56293	4327.555293	4430.028457	4587.138809	4326.017852	4386.78002	4902.371367	4732.869941	4661.831152	3736.926934	3896.443682	3877.057129	4288.709395	4398.334141	3922.092314	4278.851543	4230.634121	5914.016035	4589.841191	4710.089238	4774.116953	3785.835498	4233.041846	4135.059521	3789.78332	4203.471748	4349.191191	4358.992598	4941.629863	4400.978887	4431.385	5050.915547	4304.611426	5539.203027	5852.952461	5395.016211	5753.824375	5013.035605	4942.370508	5383.315059	5786.849355	10647.71531	6132.128828	6724.031367	5087.140879	5222.999023	4834.473223	4991.503262	4416.881934	4262.109082	4168.086357	4622.987344	4406.363652	4120.751816	3831.348496	3811.20665	3809.573545
22.5	8275.960918	7544.958008	6967.548945	4016.883623	3927.914805	3944.523799	4324.190254	4112.695986	4157.167939	2978.020146	2996.888301	2964.252607	3945.774385	4221.088809	3875.686982	4106.443135	4470.499961	5007.453223	4406.742656	4243.214492	4183.238828	4350.850176	4620.002031	4695.267832	3794.379785	3823.845879	3865.863262	3936.482832	4050.53748	4343.48625	4427.811191	4581.452871	4652.194824	5303.077441	4286.105313	4591.240898	4131.431797	3781.704385	3980.570684	4305.980801	4304.480078	4408.695879	4562.522969	4303.718887	4360.857949	4872.901445	4706.667305	4634.726387	3723.67166	3878.381045	3858.26291	4262.703066	4370.807891	3901.583916	4258.093027	4210.124629	5890.869766	4565.066426	4679.221934	4740.844336	3773.736055	4207.216602	4112.366865	3775.02959	4177.355439	4320.446465	4334.032617	4915.417754	4382.785195	4411.80918	5018.741348	4288.328848	5527.93623	5827.699922	5371.566191	5723.23584	4993.714063	4905.293652	5355.656621	5768.867793	10594.64129	6108.094688	6692.79498	5053.307734	5173.761738	4792.692734	4938.581172	4390.945078	4240.763887	4152.596309	4592.136328	4379.265723	4104.920244	3816.954297	3797.21084	3790.499258
23	8153.974063	7458.132813	6872.303086	4007.524141	3910.964199	3921.976953	4300.090781	4088.34917	4135.298926	2975.2075	2992.515098	2966.563691	3928.561826	4199.65625	3864.950146	4082.75582	4437.605234	4994.32375	4378.529473	4219.502402	4162.317773	4325.447559	4592.765723	4658.670938	3777.868232	3810.671621	3849.859063	3917.224902	4029.001689	4322.132578	4399.916992	4550.969766	4619.089023	5264.275801	4263.156348	4553.59666	4118.456611	3769.498584	3963.662188	4280.398672	4281.404863	4387.363301	4537.907129	4281.419922	4334.935879	4843.431523	4680.464668	4607.621621	3710.416387	3860.318408	3839.468691	4236.696738	4343.281641	3881.075518	4237.334512	4189.615137	5867.723496	4540.29166	4648.354629	4707.571719	3761.636611	4181.391357	4089.674209	3760.275859	4151.239131	4291.701738	4309.072637	4889.205645	4364.591504	4392.233359	4986.567148	4272.04627	5516.669434	5802.447383	5348.116172	5692.647305	4974.39252	4868.216797	5327.998184	5750.88623	10541.56727	6084.060547	6661.558594	5019.47459	5124.524453	4750.912246	4885.659082	4365.008223	4219.418691	4137.10626	4561.285313	4352.167793	4089.088672	3802.560098	3783.215029	3771.424971
23.5	8037.515684	7374.049707	6781.427285	3996.723613	3893.994668	3898.874873	4275.277578	4063.423867	4113.453662	2973.390654	2988.431904	2968.527891	3912.147676	4178.811035	3853.661719	4059.090576	4406.147891	4981.060078	4349.63832	4195.277197	4142.189404	4300.480762	4565.637852	4622.6925	3760.652471	3796.037939	3833.846953	3897.147021	4007.177969	4300.65207	4372.051699	4520.196191	4586.211152	5226.150996	4240.477949	4517.226641	4104.676133	3756.703906	3946.326846	4254.962832	4258.65541	4366.253828	4513.60502	4259.031973	4309.744277	4814.46791	4653.789883	4581.13375	3696.778506	3840.875205	3819.730781	4210.646172	4315.275391	3860.855557	4217.363906	4168.77668	5845.820918	4516.698965	4618.381563	4675.082305	3749.307109	4156.048301	4067.169951	3746.013203	4125.108574	4262.524902	4283.740059	4862.850938	4346.004141	4372.145879	4954.380879	4254.897344	5506.307363	5778.624824	5326.014609	5661.894551	4954.761016	4831.97207	5300.67502	5733.751973	10490.25086	6059.50375	6631.612734	4986.109395	5076.612402	4708.68752	4836.173789	4340.412422	4198.833438	4121.648887	4531.557969	4326.027734	4073.502295	3788.077969	3769.329219	3753.337529
24	7926.316289	7291.641836	6694.823652	3984.666758	3877.092021	3875.341201	4249.625352	4037.906455	4091.035234	2971.576934	2984.876113	2970.156816	3896.269287	4158.096797	3842.07168	4035.501143	4376.24	4967.456914	4319.859297	4169.908838	4121.689482	4275.020762	4538.458359	4587.366133	3742.653535	3780.017383	3816.89168	3876.103818	3984.968447	4277.673164	4343.357969	4488.257363	4552.851621	5188.313613	4216.828984	4482.334023	4089.741973	3743.064473	3928.075752	4229.322324	4235.680723	4344.378574	4488.21082	4235.978184	4284.87791	4785.603203	4626.724063	4554.83582	3682.767979	3820.566768	3799.032344	4183.989854	4286.224316	3840.568193	4197.232832	4147.245596	5823.758867	4493.225703	4588.575898	4643.419727	3736.733896	4130.774736	4044.633105	3732.218379	4099.037969	4232.76543	4257.238555	4835.891445	4326.655742	4351.889453	4921.953008	4236.06207	5496.618418	5755.410625	5304.561445	5630.218184	4935.039453	4795.855273	5273.756621	5716.545117	10441.58527	6034.392715	6601.966406	4952.607852	5029.51873	4666.666465	4789.415859	4316.024004	4178.518145	4105.891025	4502.56373	4300.494004	4058.382236	3774.084287	3755.335518	3736.600127
24.5	7821.203691	7211.796055	6612.340508	3971.879951	3860.150449	3851.725371	4223.264219	4011.832256	4068.504717	2969.881611	2981.860361	2971.211543	3880.587734	4137.538369	3830.185879	4012.190068	4347.641016	4953.176914	4289.559277	4143.923174	4100.950605	4249.561816	4511.344141	4552.404004	3723.896152	3762.932666	3798.659053	3854.467979	3962.168975	4253.40375	4314.431074	4455.750605	4519.302676	5150.6425	4193.155313	4448.856133	4074.160371	3728.594473	3909.411533	4203.43709	4212.32916	4322.130625	4461.994023	4211.841797	4260.086777	4756.17793	4600.20084	4529.160527	3668.056406	3799.830957	3778.250254	4156.480957	4256.551094	3820.063438	4177.510176	4125.086611	5801.032051	4469.060898	4558.904375	4612.17082	3723.372754	4105.7975	4021.415752	3719.159912	4073.426885	4203.510205	4230.728574	4808.837754	4306.727305	4331.495723	4889.585664	4216.977363	5486.640039	5733.333789	5283.625195	5598.106113	4915.203125	4760.20002	5247.042422	5699.153984	10395.83488	6008.225391	6572.346973	4920.147305	4983.589824	4624.982793	4745.40957	4292.121953	4158.243389	4090.566865	4474.739473	4275.607676	4043.654297	3759.470117	3741.833896	3720.290693
