	Temperature	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
	20	4044.90951171876	4085.66614257815	4483.8986328125	5523.28818359379	5077.43675781254	5387.26597656253	5956.73419921879	4788.70482421879	4669.73144531253	3411.94263671876	3327.74492187502	3319.96432617189	6511.24277343753	6800.42921875003	7230.0651171875	6654.85486328134	6766.48818359381	6944.7119726563	6927.98626953128	6687.83513671881	7340.71222656252	7415.77238281256	7345.88246093755	6891.46109375005	5593.72845703129	6359.01505859376	5896.22789062505	6466.64298828128	6002.8703320313	5910.94144531251	6155.95462890632	7011.09218750008	6131.41882812507	6585.91394531254	5894.82890625002	6657.99312500006	5320.5153320313	5428.3592773438	5607.15271484379	5790.21937500004	7190.32103515627	5593.18710937503	5613.51023437504	5257.79560546879	5474.19767578127	6675.85673828131	6068.44226562505	5359.02113281256	4713.49308593752	5085.01130859378	6051.52847656258	4230.77223632814	4930.98947265629	8353.21101562504	9439.45132812504	5004.94662109379	5525.4833007813	4766.16906250003	5186.10347656255	4834.97505859379	4788.44083984377	5171.5793164063	4761.33109375002	4823.88373046879	5057.9681835938	5644.69496093752	5686.14080078129	6097.57714843749	5367.23824218753	5899.73994140629	5423.98746093752	6314.76029296879	6049.27166015624	5081.00871093755	6340.9650976563	5476.36521484377	6071.9564648438	6364.14169921877	5634.05992187503	6202.09353515628	8346.03126953134	5432.44623046879	5709.37486328128	5797.08228515628	4477.51914062504	5285.90619140629	5167.27111328127	5234.1312304688	5557.04148437504	5586.29082031255	4761.55939453125	5424.72121093756	4965.16513671879	4628.59468750001	5056.33480468754	4053.20076171876
	20.5	4028.21687500001	4065.15871093752	4456.71232421875	5501.26025390629	5041.31517578129	5350.92130859378	5940.47939453129	4757.03740234379	4637.16095703128	3408.07895507814	3325.83228515627	3317.36800781252	6494.78441406253	6775.56289062503	7202.95203125	6634.43328125009	6737.68652343756	6927.4082617188	6891.86152343753	6662.59833984381	7320.39644531252	7355.26652343756	7275.8002539063	6817.28214843755	5588.07585937504	6331.95818359376	5892.93886718755	6443.03830078128	5985.33464843755	5895.89933593752	6126.31835937506	6949.64900390633	6105.91789062507	6509.29609375004	5849.29113281252	6577.92365234381	5284.98796875005	5407.37562500005	5584.74000000005	5743.79310546879	7196.76990234377	5582.50968750003	5586.22757812504	5242.55302734379	5447.97349609377	6609.67306640631	6012.6064648438	5318.4654101563	4678.15197265626	5051.17820312503	6038.72066406258	4213.15382812502	4900.58894531254	8277.30996093754	9345.87875000004	4961.92666015629	5486.98433593755	4725.41533203128	5151.5792773438	4815.41919921879	4759.86710937502	5141.66521484379	4737.51419921877	4785.67740234378	5018.3593554688	5589.57863281252	5662.24935546879	6107.04925781249	5322.71730468753	5839.90835937504	5382.16267578127	6242.03820312504	6026.97644531249	5066.05980468755	6324.5633789063	5443.85521484377	6045.24484375005	6372.94792968752	5620.18298828129	6179.18556640628	8317.73083984384	5406.20248046879	5694.84691406253	5790.51968750003	4453.55177734379	5245.70039062504	5102.54376953127	5223.10339843755	5544.68355468754	5570.4639648438	4738.3525390625	5390.69490234381	4943.42724609379	4612.12785156251	5037.35796875004	4033.23548828126
	21	4011.52423828126	4044.6512792969	4429.526015625	5479.23232421879	5005.19359375004	5314.57664062503	5924.2245898438	4725.36998046879	4604.59046875003	3404.21527343751	3323.91964843752	3314.77168945315	6478.32605468753	6750.69656250003	7175.8389453125	6614.01169921884	6708.88486328131	6910.1045507813	6855.73677734378	6637.36154296881	7300.08066406252	7294.76066406256	7205.71804687505	6743.10320312504	5582.42326171879	6304.90130859376	5889.64984375005	6419.43361328128	5967.7989648438	5880.85722656252	6096.68208984381	6888.20582031258	6080.41695312507	6432.67824218754	5803.75335937502	6497.85417968756	5249.4606054688	5386.3919726563	5562.3272851563	5697.36683593754	7203.21876953127	5571.83226562503	5558.94492187504	5227.31044921878	5421.74931640627	6543.48939453131	5956.77066406255	5277.90968750005	4642.81085937501	5017.34509765628	6025.91285156258	4195.53541992189	4870.18841796879	8201.40890625004	9252.30617187504	4918.90669921879	5448.4853710938	4684.66160156253	5117.05507812505	4795.86333984379	4731.29337890627	5111.75111328129	4713.69730468752	4747.47107421878	4978.75052734379	5534.46230468752	5638.35791015629	6116.52136718749	5278.19636718753	5780.07677734379	5340.33789062501	6169.31611328129	6004.68123046874	5051.11089843755	6308.1616601563	5411.34521484378	6018.5332226563	6381.75416015627	5606.30605468754	6156.27759765628	8289.43041015634	5379.95873046879	5680.31896484378	5783.95708984378	4429.58441406254	5205.49458984379	5037.81642578127	5212.0755664063	5532.32562500004	5554.63710937505	4715.14568359375	5356.66859375006	4921.68935546879	4595.66101562501	5018.38113281254	4013.27021484375
	21.5	3994.83160156251	4024.14384765627	4402.33970703125	5457.20439453129	4969.07201171879	5278.23197265628	5907.9697851563	4693.70255859378	4572.01998046878	3400.35159179689	3322.00701171877	3312.17537109377	6461.86769531253	6725.83023437503	7148.725859375	6593.59011718759	6680.08320312506	6892.8008398438	6819.61203125003	6612.12474609381	7279.76488281252	7234.25480468756	7135.6358398438	6668.92425781254	5576.77066406254	6277.84443359376	5886.36082031255	6395.82892578128	5950.26328125005	5865.81511718752	6067.04582031256	6826.76263671883	6054.91601562507	6356.06039062504	5758.21558593752	6417.78470703131	5213.93324218755	5365.40832031255	5539.91457031255	5650.94056640629	7209.66763671877	5561.15484375003	5531.66226562504	5212.06787109378	5395.52513671877	6477.30572265631	5900.9348632813	5237.3539648438	4607.46974609376	4983.51199218753	6013.10503906258	4177.91701171877	4839.78789062504	8125.50785156253	9158.73359375004	4875.88673828129	5409.98640625005	4643.90787109378	5082.5308789063	4776.30748046879	4702.71964843752	5081.83701171879	4689.88041015627	4709.26474609378	4939.14169921879	5479.34597656252	5614.46646484379	6125.99347656249	5233.67542968753	5720.24519531253	5298.51310546876	6096.59402343753	5982.38601562499	5036.16199218755	6291.7599414063	5378.83521484378	5991.82160156255	6390.56039062502	5592.42912109379	6133.36962890629	8261.12998046884	5353.71498046879	5665.79101562503	5777.39449218753	4405.61705078129	5165.28878906254	4973.08908203127	5201.04773437505	5519.96769531253	5538.8102539063	4691.938828125	5322.64228515631	4899.95146484379	4579.19417968751	4999.40429687504	3993.30494140625
	22	3978.13896484376	4003.63641601565	4375.1533984375	5435.17646484379	4932.95042968754	5241.88730468753	5891.71498046879	4662.03513671878	4539.44949218753	3396.48791015626	3320.09437500002	3309.5790527344	6445.40933593753	6700.96390625003	7121.6127734375	6573.16853515634	6651.28154296881	6875.4971289063	6783.48728515629	6586.88794921881	7259.44910156252	7173.74894531256	7065.55363281255	6594.74531250004	5571.11806640629	6250.78755859376	5883.07179687505	6372.22423828128	5932.7275976563	5850.77300781252	6037.40955078131	6765.31945312508	6029.41507812507	6279.44253906254	5712.67781250002	6337.71523437506	5178.4058789063	5344.4246679688	5517.5018554688	5604.51429687504	7216.11650390627	5550.47742187503	5504.37960937504	5196.82529296878	5369.30095703128	6411.1220507813	5845.09906250005	5196.79824218755	4572.12863281251	4949.67888671878	6000.29722656257	4160.29860351564	4809.38736328129	8049.60679687503	9065.16101562504	4832.86677734379	5371.4874414063	4603.15414062503	5048.00667968755	4756.75162109379	4674.14591796877	5051.92291015629	4666.06351562502	4671.05841796878	4899.53287109379	5424.22964843752	5590.57501953129	6135.46558593749	5189.15449218753	5660.41361328128	5256.68832031252	6023.87193359378	5960.09080078124	5021.21308593755	6275.3582226563	5346.32521484378	5965.10998046879	6399.36662109377	5578.55218750004	6110.46166015629	8232.82955078134	5327.47123046879	5651.26306640628	5770.83189453128	4381.64968750004	5125.08298828129	4908.36173828128	5190.0199023438	5507.60976562503	5522.98339843755	4668.73197265625	5288.61597656256	4878.21357421879	4562.72734375001	4980.42746093754	3973.33966796875
	22.5	3961.44632812502	3983.12898437502	4347.96708984378	5413.14853515628	4896.82884765628	5205.54263671878	5875.46017578129	4630.36771484378	4506.87900390628	3392.62422851565	3318.18173828127	3306.98273437502	6428.95097656254	6676.09757812504	7094.49968750004	6552.74695312504	6622.47988281254	6858.19341796879	6747.36253906254	6561.65115234379	7239.13332031255	7113.24308593754	6995.47142578129	6520.56636718754	5565.46546875004	6223.73068359379	5879.78277343754	6348.61955078129	5915.19191406254	5835.73089843754	6007.77328125004	6703.87626953129	6003.91414062504	6202.82468750004	5667.14003906254	6257.64576171879	5142.87851562503	5323.44101562503	5495.08914062503	5558.08802734378	7222.56537109379	5539.80000000003	5477.09695312503	5181.58271484378	5343.07677734378	6344.93837890629	5789.26326171879	5156.24251953128	4536.78751953128	4915.84578125003	5987.48941406254	4142.68019531253	4778.98683593753	7973.70574218755	8971.58843750005	4789.84681640628	5332.98847656253	4562.40041015628	5013.48248046878	4737.19576171878	4645.57218750003	5022.00880859378	4642.24662109378	4632.85208984378	4859.92404296878	5369.11332031253	5566.68357421878	6144.93769531254	5144.63355468753	5600.58203125004	5214.86353515628	5951.14984375004	5937.79558593754	5006.26417968753	6258.95650390629	5313.81521484378	5938.39835937504	6408.17285156254	5564.67525390628	6087.55369140629	8204.5291210938	5301.22748046878	5636.73511718753	5764.26929687504	4357.68232421878	5084.87718750003	4843.63439453128	5178.99207031253	5495.25183593754	5507.15654296878	4645.52511718753	5254.58966796878	4856.47568359378	4546.26050781253	4961.45062500003	3953.37439453127
	23	3944.75369140627	3962.6215527344	4320.78078125003	5391.12060546878	4860.70726562503	5169.19796875003	5859.20537109379	4598.70029296878	4474.30851562503	3388.76054687502	3316.26910156252	3304.38641601565	6412.49261718754	6651.23125000004	7067.38660156254	6532.32537109379	6593.67822265629	6840.88970703129	6711.23779296879	6536.41435546879	7218.81753906254	7052.73722656254	6925.38921875004	6446.38742187504	5559.81287109378	6196.67380859379	5876.49375000004	6325.01486328129	5897.65623046879	5820.68878906254	5978.13701171879	6642.43308593754	5978.41320312504	6126.20683593754	5621.60226562504	6177.57628906254	5107.35115234378	5302.45736328128	5472.67642578129	5511.66175781253	7229.01423828129	5529.12257812503	5449.81429687503	5166.34013671878	5316.85259765628	6278.75470703129	5733.42746093754	5115.68679687503	4501.44640625003	4882.01267578128	5974.68160156254	4125.0617871094	4748.58630859378	7897.80468750005	8878.01585937505	4746.82685546878	5294.48951171878	4521.64667968753	4978.95828125003	4717.63990234378	4616.99845703128	4992.09470703128	4618.42972656253	4594.64576171878	4820.31521484378	5313.99699218753	5542.79212890628	6154.40980468754	5100.11261718753	5540.75044921878	5173.03875000003	5878.42775390629	5915.50037109379	4991.31527343753	6242.55478515629	5281.30521484378	5911.68673828129	6416.97908203129	5550.79832031254	6064.64572265629	8176.2286914063	5274.98373046878	5622.20716796878	5757.70669921878	4333.71496093753	5044.67138671878	4778.90705078128	5167.96423828128	5482.89390625003	5491.32968750003	4622.31826171878	5220.56335937503	4834.73779296878	4529.79367187503	4942.47378906253	3933.40912109377
	23.5	3928.63000976565	3942.8426074219	4294.48126953128	5369.62582031253	4827.56044921878	5134.96480468753	5844.10275390629	4570.63287109378	4444.81117187503	3386.15426757815	3315.45169921877	3303.49641601565	6398.75949218754	6629.32279296879	7042.44558593754	6515.66328125004	6566.67394531254	6825.64490234379	6674.93675781254	6510.99755859379	7197.58753906255	6991.23296875004	6857.36021484379	6379.12267578129	5553.65228515629	6169.89744140629	5872.37523437504	6299.97064453129	5880.44837890629	5804.64353515629	5945.16441406254	6581.24408203129	5950.06279296879	6057.99687500004	5580.82755859378	6106.70992187504	5075.04638671878	5282.02740234378	5449.65009765628	5467.41128906253	7229.89787109379	5519.16095703128	5423.52791015628	5154.34808593753	5294.08212890628	6219.44103515629	5686.47902343754	5082.16531250003	4467.90533203128	4846.10695312503	5962.81056640629	4108.1565527344	4720.37578125003	7818.4235742188	8780.09742187506	4708.31585937503	5260.96265625003	4485.18296875003	4950.45251953128	4705.80771484378	4591.04214843753	4964.22955078128	4595.81283203128	4561.26367187503	4784.82060546878	5266.31433593753	5523.76062500003	6167.07400390629	5059.47158203128	5487.68408203128	5138.59136718753	5816.12511718754	5896.24519531254	4979.18636718753	6228.82306640629	5252.81521484378	5892.41361328129	6432.13537109379	5541.28777343754	6045.90248046879	8156.0956445313	5254.46517578128	5614.93130859379	5757.60037109379	4312.63177734378	5008.74248046878	4722.66435546878	5163.14953125003	5477.45597656253	5482.34601562503	4604.46777343753	5192.16451171878	4817.12832031253	4514.08683593753	4929.12326171878	3917.97861328127
	24	3913.06840820315	3924.70157226565	4269.46751953128	5348.60050781253	4797.03994140628	5102.18164062503	5829.57490234379	4545.43238281253	4418.29480468753	3384.27793945315	3315.20118164065	3303.31480468752	6386.41476562504	6608.73490234379	7018.81607421879	6501.35751953129	6541.32541015629	6812.14746093754	6639.60250000004	6486.14650390629	7174.71589843754	6929.36769531254	6792.33173828129	6317.61322265629	5548.86644531253	6145.05681640629	5867.93566406254	6274.80593750004	5863.75419921879	5788.02097656254	5909.50814453129	6520.79828125004	5919.83548828129	5996.30591796879	5543.87855468753	6042.96302734379	5045.34214843753	5262.41583984378	5426.89373046878	5424.88968750003	7224.48207031254	5509.08041015628	5398.67791015628	5143.82701171878	5274.86585937503	6165.68318359379	5646.48476562504	5054.54640625003	4436.54900390628	4810.83537109378	5951.80222656254	4092.30337890628	4694.19998046878	7735.8534960938	8678.31691406255	4672.80964843753	5231.37845703128	4452.27818359378	4925.63781250003	4698.87029296878	4567.00267578128	4937.32066406253	4574.10904296878	4531.48208984378	4753.19226562503	5223.91220703128	5507.55431640628	6181.79500000004	5021.50738281253	5440.04091796878	5109.65248046878	5760.30667968754	5879.01472656254	4969.66433593753	6216.70082031254	5227.71042968753	5879.22892578129	6451.54107421879	5534.72931640628	6029.77400390629	8141.6809960938	5238.10771484378	5612.83125000003	5761.20300781254	4293.68117187503	4975.80361328128	4673.15906250003	5161.85322265628	5476.62072265628	5477.55447265628	4588.69419921878	5168.16980468753	4802.70257812503	4498.29949218753	4918.93119140628	3905.4285839844
	24.5	3897.79472656252	3907.91845703127	4245.18849609378	5328.23412109378	4769.23734375003	5071.15796875003	5815.72808593754	4522.36611328128	4393.89166015628	3383.00373046877	3314.9253808594	3303.61059570315	6374.58207031254	6589.18750000004	6996.14710937504	6489.00068359379	6517.78640625004	6800.36689453129	6604.39037109379	6462.51644531254	7149.5400585938	6867.85345703129	6730.47697265629	6260.65007812504	5546.52480468753	6121.91675781254	5863.61035156254	6249.66021484379	5847.62316406254	5770.78681640628	5872.06130859379	6461.13041015629	5887.35343750004	5940.17703125004	5509.69585937503	5983.85986328129	5017.55898437503	5243.62167968753	5403.75742187503	5384.34498046878	7212.99207031254	5498.72199218753	5375.55001953128	5134.12748046878	5258.53269531253	6116.32103515629	5611.48626953129	5031.38644531253	4407.52105468753	4776.96476562503	5941.85228515629	4077.43181640628	4670.03468750003	7650.76339843755	8575.50953125005	4640.25919921878	5204.77162109378	4421.95287109378	4903.24570312503	4695.60343750003	4544.57896484378	4910.66437500003	4553.38791015628	4504.28369140628	4723.91492187503	5186.12806640628	5493.20322265628	6198.03390625004	4984.86369140628	5395.81146484378	5084.48732421878	5708.29191406254	5863.09896484379	4962.23810546878	6206.13177734379	5204.66667968753	5870.08267578129	6473.43261718754	5530.11927734378	6015.41716796879	8130.6452539063	5224.43501953128	5613.93701171878	5766.40093750004	4275.93894531253	4945.15423828128	4628.55113281253	5162.80421875003	5478.41814453128	5474.84449218753	4574.78693359378	5146.99929687503	4789.58046875003	4480.85271484378	4910.61125000003	3894.28382812503
