	Temperature	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
	20	6260.87578125004	6040.31357421877	5592.97417968754	7769.83996093756	8800.79484375001	8552.94068359379	7805.58621093756	7852.66056640629	7567.96269531256	3482.58219726563	3307.07672851565	3516.35774414064	20402.2047656251	19452.4326562501	20068.8817968751	15637.6132031251	17720.2742578125	16742.1373828126	9620.27238281256	8458.58562500004	9474.87671875003	8674.5772265626	9359.68285156251	9463.62847656258	7845.1379882813	8183.72037109381	7992.29250000005	7615.05460937503	7704.07398437503	7742.87750000001	7289.60556640633	7645.03273437504	7248.83673828127	7544.92783203131	7180.38347656257	7224.98150390628	7644.4980273438	8266.89105468757	8101.50457031257	7237.19876953126	7077.82796875005	7409.61650390633	7238.29310546885	7174.15119140633	6984.67246093751	6797.47904296879	6797.48798828134	6653.94699218758	7256.33669921877	7527.70955078132	11522.4190625002	6995.86076171874	7617.63824218756	15620.4712109376	17206.1536328126	7643.55412109379	7077.08345703128	6956.88330078131	7037.52988281252	6805.49207031256	8156.28816406253	8027.98218750006	8466.64121093759	7461.3650000001	7353.45072265632	7545.26121093752	7257.22150390625	7049.53808593755	7404.87585937506	6994.83656250004	7004.62472656251	7245.59689453126	8710.28925781254	9966.61992187509	9892.77335937505	9076.77402343759	8140.46939453131	8382.22810546879	11760.9676171876	12391.0191796876	16223.4662109376	10021.4085546876	9046.73972656255	8565.09138671877	6367.11134765629	6429.61281250006	6385.80986328133	19252.2760156251	17960.6805468751	18216.272890625	20430.9732031251	19738.3992187501	19344.5230468751	3386.78868164062	3383.97619140626	3262.94411132813
	20.5	6222.12625000004	5988.74513671877	5546.20421875003	7727.97359375006	8765.06429687501	8507.39652343754	7732.90931640631	7807.67005859379	7540.00419921881	3473.45220703126	3300.9729589844	3505.70821289064	20276.9208593751	19319.8078125001	19934.5942187501	15480.0064062501	17545.0986328125	16555.2785546876	9600.59128906256	8438.40093750004	9448.62882812504	8652.3571484376	9311.26703125001	9411.63898437507	7842.89062500005	8173.23990234381	7967.3024804688	7593.45416015628	7674.00085937503	7711.22751953126	7246.45765625008	7582.64169921879	7192.14302734377	7493.07570312506	7123.18667968756	7171.76986328128	7631.1865039063	8254.93472656257	8088.75771484382	7218.34980468752	7054.83113281255	7367.88125000008	7176.74837890635	7120.72009765633	6936.48136718751	6739.82589843754	6761.81007812509	6595.30802734383	7250.57726562502	7517.78585937507	11554.6582812502	6970.71443359374	7566.96980468756	15581.9824218751	17090.7472656251	7621.54630859379	7046.45501953128	6922.02056640632	6987.77666015627	6766.96900390631	8175.18445312503	8014.00800781255	8461.02125000009	7446.98138671885	7332.01816406257	7525.51125000002	7221.38673828125	7022.70855468755	7390.43951171881	6959.25556640629	6973.027265625	7221.62269531252	8696.19132812504	9962.68152343759	9875.45816406255	9063.00660156259	8111.05511718756	8327.85976562504	11727.4676562501	12339.7563671876	16121.7074218751	9970.35906250008	9003.49496093755	8503.32558593752	6337.17769531254	6422.23279296881	6369.11244140633	19175.9895312501	17900.2749218751	18153.1209375	20347.7371875001	19633.2673437501	19291.4578125001	3379.56553710937	3378.01727539063	3258.466796875
	21	6183.37671875004	5937.17669921877	5499.43425781253	7686.10722656256	8729.33375000002	8461.85236328129	7660.23242187506	7762.67955078129	7512.04570312506	3464.32221679688	3294.86918945314	3495.05868164064	20151.6369531251	19187.1829687501	19800.3066406251	15322.3996093751	17369.9230078125	16368.4197265626	9580.91019531256	8418.21625000005	9422.38093750004	8630.1370703126	9262.85121093752	9359.64949218757	7840.6432617188	8162.75943359381	7942.31246093755	7571.85371093753	7643.92773437503	7679.57753906251	7203.30974609384	7520.25066406254	7135.44931640627	7441.2235742188	7065.98988281256	7118.55822265628	7617.8749804688	8242.97839843757	8076.01085937507	7199.50083984377	7031.83429687504	7326.14599609383	7115.20365234385	7067.28900390633	6888.29027343751	6682.17275390629	6726.13216796884	6536.66906250008	7244.81783203128	7507.86216796882	11586.8975000002	6945.56810546874	7516.30136718756	15543.4936328126	16975.3408984376	7599.53849609379	7015.82658203128	6887.15783203132	6938.02343750002	6728.44593750006	8194.08074218753	8000.03382812505	8455.40128906259	7432.5977734376	7310.58560546882	7505.76128906252	7185.55197265626	6995.87902343755	7376.00316406256	6923.67457031254	6941.4298046875	7197.64849609377	8682.09339843754	9958.74312500009	9858.14296875004	9049.23917968759	8081.64083984381	8273.49142578129	11693.9676953126	12288.4935546876	16019.9486328126	9919.30957031258	8960.25019531255	8441.55978515627	6307.24404296878	6414.85277343756	6352.41501953133	19099.7030468751	17839.8692968751	18089.968984375	20264.5011718751	19528.1354687501	19238.3925781251	3372.34239257812	3372.05835937501	3253.98948242188
	21.5	6144.62718750004	5885.60826171877	5452.66429687503	7644.24085937506	8693.60320312502	8416.30820312505	7587.55552734381	7717.68904296879	7484.08720703131	3455.19222656251	3288.76541992189	3484.40915039064	20026.3530468751	19054.5581250002	19666.0190625001	15164.7928125001	17194.7473828125	16181.5608984376	9561.22910156256	8398.03156250005	9396.13304687504	8607.9169921876	9214.43539062502	9307.66000000007	7838.39589843755	8152.27896484381	7917.3224414063	7550.25326171878	7613.85460937503	7647.92755859377	7160.16183593759	7457.85962890629	7078.75560546877	7389.37144531255	7008.79308593756	7065.34658203128	7604.5634570313	8231.02207031257	8063.26400390632	7180.65187500002	7008.83746093754	7284.41074218758	7053.65892578135	7013.85791015633	6840.09917968751	6624.51960937504	6690.45425781259	6478.03009765633	7239.05839843753	7497.93847656257	11619.1367187502	6920.42177734374	7465.63292968756	15505.0048437501	16859.9345312501	7577.53068359379	6985.19814453128	6852.29509765632	6888.27021484377	6689.92287109381	8212.97703125003	7986.05964843755	8449.78132812508	7418.21416015635	7289.15304687507	7486.01132812502	7149.71720703126	6969.04949218755	7361.56681640631	6888.09357421878	6909.83234375	7173.67429687502	8667.99546875004	9954.80472656259	9840.82777343754	9035.47175781259	8052.22656250006	8219.12308593754	11660.4677343751	12237.2307421876	15918.1898437501	9868.26007812508	8917.00542968755	8379.79398437502	6277.31039062503	6407.47275390631	6335.71759765633	19023.4165625001	17779.4636718751	18026.81703125	20181.2651562501	19423.0035937501	19185.3273437501	3365.11924804687	3366.09944335938	3249.51216796875
	22	6105.87765625004	5834.03982421877	5405.89433593753	7602.37449218756	8657.87265625002	8370.7640429688	7514.87863281256	7672.69853515629	7456.12871093756	3446.06223632814	3282.66165039064	3473.75961914064	19901.0691406251	18921.9332812502	19531.7314843751	15007.1860156251	17019.5717578125	15994.7020703126	9541.54800781256	8377.84687500005	9369.88515625004	8585.6969140626	9166.01957031252	9255.67050781257	7836.1485351563	8141.7984960938	7892.33242187505	7528.65281250003	7583.78148437503	7616.27757812502	7117.01392578134	7395.46859375004	7022.06189453127	7337.5193164063	6951.59628906256	7012.13494140628	7591.25193359379	8219.06574218757	8050.51714843758	7161.80291015627	6985.84062500004	7242.67548828133	6992.11419921885	6960.42681640633	6791.90808593751	6566.86646484379	6654.77634765634	6419.39113281258	7233.29896484378	7488.01478515632	11651.3759375002	6895.27544921874	7414.96449218756	15466.5160546876	16744.5281640626	7555.5228710938	6954.56970703128	6817.43236328132	6838.51699218752	6651.39980468756	8231.87332031252	7972.08546875005	8444.16136718758	7403.8305468751	7267.72048828132	7466.26136718753	7113.88244140626	6942.21996093755	7347.13046875006	6852.51257812503	6878.2348828125	7149.70009765627	8653.89753906254	9950.86632812509	9823.51257812504	9021.70433593759	8022.81228515631	8164.75474609379	11626.9677734376	12185.9679296876	15816.4310546876	9817.21058593758	8873.76066406256	8318.02818359377	6247.37673828128	6400.09273437506	6319.02017578133	18947.1300781251	17719.0580468751	17963.665078125	20098.0291406251	19317.8717187501	19132.2621093751	3357.89610351562	3360.14052734376	3245.03485351563
	22.5	6067.12812500004	5782.47138671879	5359.12437500003	7560.50812500005	8622.14210937505	8325.21988281255	7442.2017382813	7627.7080273438	7428.1702148438	3436.93224609377	3276.5578808594	3463.11008789065	19775.7852343751	18789.3084375001	19397.4439062501	14849.5792187501	16844.3961328126	15807.8432421876	9521.86691406256	8357.66218750005	9343.63726562506	8563.47683593755	9117.60375000005	9203.68101562506	7833.90117187505	8131.3180273438	7867.3424023438	7507.0523632813	7553.70835937505	7584.6275976563	7073.86601562504	7333.0775585938	6965.36818359379	7285.66718750004	6894.39949218754	6958.92330078129	7577.9404101563	8207.10941406255	8037.7702929688	7142.95394531254	6962.84378906254	7200.94023437505	6930.56947265629	6906.99572265629	6743.71699218754	6509.21332031254	6619.09843750004	6360.75216796879	7227.53953125004	7478.09109375005	11683.6151562501	6870.12912109379	7364.29605468755	15428.0272656251	16629.1217968751	7533.5150585938	6923.94126953129	6782.56962890629	6788.76376953129	6612.87673828129	8250.76960937505	7958.11128906255	8438.54140625005	7389.4469335938	7246.28792968755	7446.51140625005	7078.04767578129	6915.39042968754	7332.69412109379	6816.93158203129	6846.63742187504	7125.72589843754	8639.79960937506	9946.92792968756	9806.19738281256	9007.93691406256	7993.39800781255	8110.38640625005	11593.4678125001	12134.7051171876	15714.6722656251	9766.16109375006	8830.51589843755	8256.26238281255	6217.44308593754	6392.71271484379	6302.32275390629	18870.8435937501	17658.6524218751	17900.5131250001	20014.7931250001	19212.7398437501	19079.1968750001	3350.6729589844	3354.18161132815	3240.55753906252
	23	6028.37859375004	5730.90294921879	5312.35441406253	7518.64175781255	8586.41156250006	8279.6757226563	7369.52484375005	7582.7175195313	7400.21171875005	3427.8022558594	3270.45411132815	3452.46055664065	19650.5013281251	18656.6835937501	19263.1563281251	14691.9724218751	16669.2205078126	15620.9844140626	9502.18582031256	8337.47750000005	9317.38937500006	8541.25675781255	9069.18792968756	9151.69152343756	7831.6538085938	8120.8375585938	7842.35238281255	7485.45191406255	7523.63523437505	7552.97761718755	7030.71810546879	7270.68652343754	6908.67447265629	7233.81505859379	6837.20269531254	6905.71166015629	7564.6288867188	8195.15308593755	8025.02343750005	7124.10498046879	6939.84695312504	7159.20498046879	6869.02474609379	6853.56462890629	6695.52589843754	6451.56017578129	6583.42052734379	6302.11320312504	7221.78009765629	7468.1674023438	11715.8543750001	6844.98279296879	7313.62761718754	15389.5384765626	16513.7154296876	7511.5072460938	6893.31283203129	6747.70689453129	6739.01054687504	6574.35367187504	8269.66589843755	7944.13710937505	8432.92144531255	7375.06332031255	7224.85537109379	7426.76144531255	7042.2129101563	6888.56089843754	7318.25777343755	6781.35058593754	6815.03996093754	7101.75169921879	8625.70167968755	9942.98953125006	9788.88218750006	8994.16949218756	7963.9837304688	8056.0180664063	11559.9678515626	12083.4423046876	15612.9134765626	9715.11160156256	8787.27113281256	8194.4965820313	6187.50943359379	6385.33269531254	6285.62533203129	18794.5571093751	17598.2467968751	17837.3611718751	19931.5571093751	19107.6079687501	19026.1316406251	3343.44981445315	3348.22269531252	3236.08022460939
	23.5	5989.59226562504	5683.25714843754	5269.76751953128	7483.0238867188	8561.77683593755	8247.59363281255	7310.46853515629	7546.59593750005	7379.34164062505	3420.9938183594	3266.76458984377	3444.71683593752	19524.3825781251	18520.0015625001	19125.6399218751	14538.1524218751	16498.5248828126	15442.8523828126	9495.13160156256	8330.06964843755	9305.73777343756	8532.61304687505	9039.74050781256	9120.06675781256	7830.07277343755	8113.38230468755	7822.76128906255	7469.59773437505	7499.5990039063	7527.7260742188	6994.43382812504	7218.0918164063	6860.79966796879	7195.25925781255	6792.11273437504	6868.53900390629	7555.8737304688	8188.10945312505	8017.28605468755	7110.12654296879	6921.66064453129	7125.2318164063	6814.54685546879	6805.19623046879	6651.96851562504	6400.40125000004	6552.72048828129	6254.01265625004	7218.70703125004	7462.2795507813	11751.0363671876	6826.49486328129	7272.17917968754	15355.3488671876	16406.8731250001	7499.5899023438	6870.14968750004	6722.96580078129	6702.00886718754	6547.05007812504	8291.63902343755	7937.5797460938	8436.67042968755	7367.8324023438	7212.2259960938	7415.86992187505	7016.80392578129	6870.74195312504	7313.53453125004	6755.21478515629	6792.88365234379	7090.53703125004	8615.88792968755	9944.77640625006	9778.56800781256	8989.27156250006	7941.6568164063	8011.0859570313	11534.7503125001	12046.4399218751	15522.4454687501	9679.33511718756	8755.75164062506	8149.0618164063	6160.57943359379	6383.01843750004	6276.27423828129	18737.4505468751	17554.4546875001	17795.1527343751	19880.2083593751	19033.7288281251	18996.6768750001	3337.71406250002	3343.16902343752	3233.64337890627
	24	5952.33283203129	5640.27714843754	5231.08222656253	7453.6422851563	8545.97847656255	8225.8388867188	7261.92322265629	7517.55910156255	7361.40632812505	3415.48165039065	3264.5535058594	3438.96839843752	19396.5978125001	18381.4682812501	18986.4550781251	14389.6932421876	16334.6896484376	15275.1787890626	9499.49371093756	8332.65964843755	9307.32355468756	8534.67250000005	9024.80152343756	9103.41832031256	7829.9643945313	8110.3228710938	7807.8559960938	7459.43250000005	7482.2054101563	7508.5218945313	6963.49638671879	7173.50031250005	6819.91380859379	7166.19927734379	6755.95595703129	6841.85894531254	7550.2275195313	8185.49421875005	8014.36554687505	7101.19289062505	6907.23904296879	7098.81865234379	6765.24841796879	6760.95886718754	6612.31535156254	6355.31548828129	6524.71255859379	6212.94105468754	7217.91605468755	7459.71222656254	11789.6159375001	6814.67056640629	7238.70810546879	15323.4184765626	16306.2287500001	7494.76882812505	6852.82230468754	6705.20677734379	6674.80884765629	6527.15326171879	8316.10109375005	7935.27085937505	8447.53785156255	7366.41570312505	7206.52656250004	7411.7236523438	6999.39757812504	6859.90513671879	7316.2528320313	6735.92474609379	6777.85312500004	7089.15390625004	8610.00105468756	9951.02429687506	9775.14699218756	8991.94468750006	7924.0599414063	7974.7538867188	11516.9143359376	12019.4115234376	15438.3262890626	9654.86937500006	8731.19265625005	8115.6717773438	6135.74785156254	6384.36791015629	6272.81054687504	18691.7659375001	17519.3765625001	17764.9046093751	19848.7164062501	18977.5685156251	18979.9444531251	3333.21411132815	3339.01955078127	3232.01281250002
	24.5	5916.75183593754	5601.62984375003	5196.30058593753	7429.8517773438	8536.75800781255	8211.91148437505	7221.17742187505	7494.08179687505	7343.16841796879	3410.6758496094	3262.7935449219	3433.69997070315	19267.3321875001	18242.7718750001	18845.7425781251	14247.1536718751	16175.6620312501	15116.2947656251	9513.39371093756	8343.55542968755	9319.53773437506	8545.10042968755	9021.93621093755	9097.70199218756	7831.7991601563	8110.78917968755	7798.57914062505	7454.5766992188	7470.91496093755	7494.90292968755	6936.81421875004	7135.1203320313	6784.26312500004	7143.89560546879	6725.99648437504	6821.08837890629	7546.8345117188	8186.51843750005	8014.51085937505	7095.71820312505	6896.22001953129	7078.14546875004	6720.91681640629	6720.55677734379	6575.73275390629	6314.61496093754	6498.05828125004	6176.83099609379	7219.52455078129	7460.9669726563	11832.6067187501	6808.12154296879	7211.62173828129	15290.9644921876	16210.6191796876	7494.82148437505	6839.67755859379	6692.34511718754	6654.16621093754	6511.69951171879	8341.37742187505	7936.1835351563	8463.97632812505	7369.4863476563	7205.86656250004	7411.82468750005	6987.34859375004	6853.80939453129	7324.2143164063	6722.39949218754	6767.71308593754	7094.2049414063	8607.12101562505	9961.83828125006	9777.19804687506	8999.62363281256	7909.7951367188	7943.7165429688	11503.7631640626	11997.7231250001	15355.3139062501	9636.94675781256	8710.65996093756	8088.92335937505	6111.19527343754	6389.24531250004	6272.94058593754	18650.6678125001	17487.3473437501	17739.2577343751	19827.8140625001	18927.0689843751	18966.3160156251	3329.51359375002	3335.5384667969	3230.99852539064
	25	5882.94773437504	5566.78781250004	5165.14740234378	7411.15339843755	8532.83226562505	8204.3535742188	7185.85851562505	7474.4123632813	7322.6279101563	3406.24320312502	3261.05359375002	3428.88782226565	19136.9233593751	18103.8374218751	18705.5149218751	14110.6732812501	16022.6444140626	14965.6831640626	9536.39265625006	8361.50062500005	9342.86195312506	8562.96992187505	9029.00093750006	9100.26042968756	7837.48179687505	8116.0338867188	7795.54804687505	7455.0503320313	7465.59765625005	7486.98347656255	6914.05474609379	7102.49929687505	6752.91244140629	7127.49669921879	6701.02441406254	6803.55998046879	7544.97148437505	8189.91054687505	8018.1745898438	7093.04560546879	6887.92363281254	7061.89177734379	6680.40308593754	6683.57310546879	6541.68958984379	6277.74070312504	6473.38769531254	6144.99197265629	7223.79933593754	7466.6827539063	11880.3951171876	6805.50361328129	7190.01644531254	15255.3744921876	16118.9048046876	7498.7504101563	6828.84648437504	6683.64033203129	6638.02253906254	6498.61623046879	8367.89847656255	7939.2856445313	8485.18425781255	7376.64585937505	7209.48289062504	7415.1609570313	6979.02640625004	6851.61208984379	7335.7805273438	6712.82998046879	6760.95361328129	7104.01810546879	8606.56785156256	9977.87156250006	9784.05910156256	9012.00207031256	7898.1740039063	7917.3281445313	11493.1296093751	11979.6299218751	15270.5935546876	9623.69570312506	8692.33992187505	8066.2659960938	6086.18843750004	6397.63371093754	6276.00849609379	18609.9001562501	17453.7557812501	17713.9664062501	19808.0125781251	18872.2505468751	18949.4427343751	3326.14363281252	3332.50578125002	3229.97527343752
	25.5	5850.16363281254	5535.25574218753	5136.94945312503	7396.93132812505	8533.40023437505	8201.87718750005	7155.10121093755	7457.6592382813	7301.98320312504	3401.65787109377	3258.98680664065	3424.7183105469	19004.4860937501	17962.7782031251	18564.2128906251	13979.6337109376	15874.9448437501	14822.2755859376	9567.81109375006	8385.69214843755	9376.50988281256	8588.45152343755	9045.14148437506	9111.05097656256	7846.9191601563	8126.1222851563	7797.65855468755	7460.8218554688	7466.4471679688	7484.2655664063	6895.43371093754	7074.72716796879	6726.26234375004	7116.03408203129	6681.10914062504	6788.91626953129	7544.4120898438	8195.99109375005	8023.6725195313	7092.80031250005	6882.07046875004	7049.26708984379	6643.70041015629	6649.78580078129	6510.21533203129	6244.99591796879	6450.08871093754	6116.45347656254	7231.55039062504	7476.23589843755	11932.8231250001	6806.57671875004	7172.79015625004	15216.7840625001	16031.9280078126	7505.90988281255	6819.91699218754	6677.87771484379	6625.45777343754	6487.74978515629	8395.63058593755	7944.9993164063	8510.83320312505	7387.3858398438	7216.52294921879	7421.88988281255	6973.60103515629	6852.86531250004	7351.05679687505	6707.01103515629	6756.70943359379	7117.31919921879	8608.64625000005	9998.01527343756	9795.44433593756	9027.84945312506	7889.0286523438	7894.3518554688	11484.6540234376	11963.7347265626	15184.2531640626	9614.03253906256	8675.51148437505	8046.3470117188	6061.40158203129	6410.04154296879	6282.28800781254	18567.6009375001	17418.4953906251	17688.0519531251	19788.3711718751	18811.6396875001	18928.1918750001	3323.0115917969	3329.84677734377	3229.0020214844
	26	5819.32736328129	5506.24890625003	5111.12050781253	7387.1902929688	8537.53394531255	8203.7513476563	7128.32808593754	7443.40296875005	7282.75376953129	3396.55102539065	3256.43841796877	3420.36247070315	18870.6479687501	17821.0285937501	18421.0564062501	13853.2477343751	15732.5156640626	14684.9783984376	9608.12214843756	8416.14476562505	9421.06730468756	8622.14359375006	9070.71253906256	9130.59890625006	7860.9049023438	8141.7849023438	7805.7348632813	7472.1665820313	7473.59714843755	7486.74238281255	6880.88433593754	7052.06664062504	6704.11494140629	7108.7746289063	6665.41966796879	6777.77574218754	7545.4541992188	8204.8410742188	8031.60671875005	7095.41449218754	6878.46361328129	7040.73134765629	6610.09193359379	6619.11896484379	6481.31419921879	6216.34058593754	6428.39662109379	6090.99238281254	7243.33617187504	7489.48906250005	11990.1867187501	6810.51251953129	7160.45546875004	15173.9872265626	15949.2495703126	7516.0330273438	6812.86169921879	6675.09351562504	6616.29041015629	6479.80439453129	8424.13902343755	7952.42828125005	8541.19738281255	7401.62996093755	7227.02718750004	7431.5324414063	6969.60886718754	6857.35380859379	7369.1494335938	6704.58103515629	6754.85412109379	7134.1886914063	8613.56519531256	10023.4074218751	9811.93167968756	9046.92367187506	7882.1669726563	7874.96347656255	11478.3187890626	11948.4923046876	15097.3583984376	9608.68566406256	8660.09621093755	8029.42695312505	6038.12423828129	6426.83148437504	6291.98960937504	18523.5806250001	17382.8278906251	17659.0932031251	19766.1644531251	18745.3916406251	18903.2721875001	3319.9984667969	3327.40672851565	3227.7888183594
	26.5	5789.48218750004	5479.29160156253	5087.33419921878	7381.6119335938	8544.87183593755	8209.94289062505	7105.33554687504	7431.1903320313	7264.62324218754	3391.84262695315	3253.53687500002	3415.93719726565	18735.0866406251	17677.8953125001	18277.7547656251	13731.9829296876	15595.0112890626	14552.9219921876	9658.57898437506	8453.47531250005	9475.92468750006	8664.51199218756	9106.25937500006	9159.66265625006	7880.7227539063	8162.5964257813	7820.90859375005	7490.2876367188	7487.01820312505	7495.4286914063	6870.57179687504	7034.25291015629	6686.10439453129	7106.14355468754	6654.13380859379	6769.76789062504	7548.29417968755	8216.55000000005	8041.8119726563	7100.7881445313	6878.00785156254	7035.25509765629	6580.06406250004	6592.62953125004	6454.67833984379	6191.64835937504	6408.79769531254	6068.76658203129	7259.21775390629	7506.95015625005	12052.8311328126	6817.25994140629	7152.14658203129	15126.2864062501	15870.0059765626	7529.1919726563	6807.03013671879	6675.04988281254	6609.95300781254	6474.72326171879	8453.66539062505	7963.2803710938	8576.63523437505	7420.1508789063	7241.16085937504	7444.01761718755	6966.85779296879	6864.94541015629	7391.0789648438	6705.72947265629	6755.81410156254	7154.42550781255	8620.85257812506	10054.8607031251	9833.56113281256	9070.32679687506	7878.26898437505	7858.49136718755	11472.5027734376	11934.6975000001	15011.1060156251	9607.40617187506	8646.71781250006	8014.9358789063	6016.89537109379	6448.96931640629	6305.73644531254	18479.2407031251	17347.2591406251	17629.9893750001	19742.9329687501	18676.2212500001	18876.7745312501	3317.35114257814	3324.9945996094	3226.55669921877
