	Temperature	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
	20	4206.80559570316	4750.28042968752	4660.14464843753	4309.77486328128	4233.17124023438	4787.83281250001	4235.16945312502	4925.02871093755	5197.59501953128	4367.50968750002	4050.47386718753	3855.63027343753	4309.86683593754	4675.03621093753	4358.34998046876	4781.14955078129	4274.37595703127	4406.7197070313	5121.23316406251	4438.29388671877	3995.11354492188	4123.5231933594	4285.40606445315	4038.49125976564	4735.05873046879	4592.75416015628	4230.13276367191	4326.3095214844	4640.17130859377	4602.96332031252	4795.6820507813	4888.49640625002	5517.36648437505	4599.81699218754	4879.38873046878	5194.33044921878	4553.3402148438	4907.64818359379	3977.3142089844	5192.53466796878	3947.97481445316	4302.06056640628	4075.42042968752	4273.34201171878	4470.69765625004	4571.73910156253	4589.21039062503	4972.10777343755	4577.2780273438	4168.99890625002	4093.97250000004	4268.06227539065	4232.19349609377	4383.64589843751	4631.23380859377	4226.49445312504	5002.71781250002	4005.85852539064	4423.15429687501	5130.25888671877	4097.00794921878	4153.24795898438	4223.25753906252	5265.48718750003	5040.05035156253	5002.7913476563	4226.63750976563	4114.01997070316	4636.48808593753	4691.44066406254	4221.5393164063	4245.60385742189	4399.01179687501	4072.32707031253	4087.66800781253	4174.48955078128	4949.93826171877	4381.26046875001	4021.53743164063	4325.35236328128	5053.56699218755	3939.58699218753	4259.92046875003	4231.37961914065	4181.07151367193	4176.34484375002	4098.20884765627	4217.01524414066	4498.19673828126	4049.61945312504	4178.14653320316	4551.48222656253	3902.47611328128	4052.06117187502	4021.06369140626	3993.83212890629
	20.5	4187.77044921879	4724.87365234377	4634.58574218753	4284.12117187503	4211.927109375	4748.18437500001	4214.31215820315	4876.3808007813	5215.91916015628	4370.03492187502	4050.2385839844	3855.49611328128	4291.40736328129	4639.41050781253	4343.20472656251	4767.98902343754	4266.58808593752	4384.07925781255	5074.69058593751	4416.36335937503	3979.50929687501	4104.92742187503	4260.0876855469	4026.08965820314	4699.81923828129	4568.33894531253	4205.67016601566	4300.48003906252	4607.54078125002	4572.79025390627	4759.3152148438	4856.98597656252	5488.01550781255	4568.13541015629	4877.75296875002	5168.69259765628	4519.94921875005	4864.00347656254	3961.48632812502	5144.59050781253	3936.04585937503	4281.35478515628	4054.95195312502	4246.68998046878	4445.36666015629	4539.10644531253	4556.67242187503	4962.44667968754	4536.2943164063	4150.52728515627	4079.53774414067	4243.50962890628	4211.19038085939	4355.85343750001	4604.40695312502	4208.13141601566	4956.63935546877	3990.02485351565	4393.20693359376	5073.37308593752	4075.0469433594	4133.38270507813	4205.23181640627	5233.29871093753	4998.75292968753	4976.6675585938	4209.50963867188	4097.48526367191	4614.04964843753	4660.79382812504	4197.6229882813	4226.6844042969	4387.06906250001	4062.08810546878	4073.71961914066	4160.18849609378	4913.19240234378	4357.08150390626	4002.85111328126	4302.85816406253	5006.5612304688	3928.3869042969	4247.08992187503	4214.50598632815	4166.3852929688	4161.52441406252	4080.98572265627	4203.36359375003	4471.35990234376	4033.82213867191	4159.03285156254	4526.61058593752	3889.44351562503	4042.75809570314	4010.35213867188	3982.59268554692
	21	4168.73530273441	4699.46687500002	4609.02683593753	4258.46748046878	4190.68297851563	4708.53593750001	4193.45486328127	4827.73289062505	5234.24330078128	4372.56015625002	4050.00330078128	3855.36195312503	4272.94789062504	4603.78480468754	4328.05947265626	4754.82849609379	4258.80021484377	4361.4388085938	5028.14800781251	4394.43283203128	3963.90504882813	4086.33165039065	4234.76930664065	4013.68805664064	4664.57974609379	4543.92373046878	4181.20756835941	4274.65055664065	4574.91025390627	4542.61718750002	4722.94837890629	4825.47554687502	5458.66453125005	4536.45382812504	4876.11720703127	5143.05474609378	4486.5582226563	4820.35876953129	3945.65844726565	5096.64634765628	3924.11690429691	4260.64900390628	4034.48347656252	4220.03794921877	4420.03566406254	4506.47378906253	4524.13445312503	4952.78558593754	4495.3106054688	4132.05566406252	4065.10298828129	4218.9569824219	4190.18726562502	4328.06097656251	4577.58009765627	4189.76837890629	4910.56089843752	3974.19118164065	4363.25957031251	5016.48728515627	4053.08593750003	4113.51745117188	4187.20609375002	5201.11023437503	4957.45550781253	4950.5437695313	4192.38176757813	4080.95055664066	4591.61121093753	4630.14699218754	4173.7066601563	4207.7649511719	4375.12632812501	4051.84914062503	4059.77123046878	4145.88744140628	4876.44654296878	4332.90253906251	3984.16479492189	4280.36396484378	4959.55546875005	3917.18681640628	4234.25937500003	4197.63235351566	4151.69907226568	4146.70398437502	4063.76259765627	4189.71194335941	4444.52306640626	4018.02482421879	4139.91916992191	4501.73894531252	3876.41091796878	4033.45501953127	3999.64058593751	3971.35324218754
	21.5	4149.70015625004	4674.06009765627	4583.46792968753	4232.81378906253	4169.43884765626	4668.88750000001	4172.5975683594	4779.0849804688	5252.56744140628	4375.08539062502	4049.76801757815	3855.22779296878	4254.48841796879	4568.15910156254	4312.91421875001	4741.66796875004	4251.01234375002	4338.79835937505	4981.60542968751	4372.50230468753	3948.30080078126	4067.73587890627	4209.4509277344	4001.28645507814	4629.34025390629	4519.50851562503	4156.74497070316	4248.82107421877	4542.27972656252	4512.44412109377	4686.58154296879	4793.96511718752	5429.31355468755	4504.77224609379	4874.48144531252	5117.41689453128	4453.16722656254	4776.71406250004	3929.83056640627	5048.70218750003	3912.18794921878	4239.94322265628	4014.01500000002	4193.38591796878	4394.70466796879	4473.84113281253	4491.59648437503	4943.12449218754	4454.32689453129	4113.58404296877	4050.66823242192	4194.40433593753	4169.18415039064	4300.26851562501	4550.75324218752	4171.40534179691	4864.48244140627	3958.35750976565	4333.31220703126	4959.60148437502	4031.12493164066	4093.65219726563	4169.18037109377	5168.92175781253	4916.15808593753	4924.4199804688	4175.25389648438	4064.41584960941	4569.17277343753	4599.50015625004	4149.7903320313	4188.8454980469	4363.18359375001	4041.61017578128	4045.82284179691	4131.58638671878	4839.70068359378	4308.72357421876	3965.47847656251	4257.86976562503	4912.5497070313	3905.98672851565	4221.42882812503	4180.75872070316	4137.01285156255	4131.88355468752	4046.53947265627	4176.06029296878	4417.68623046876	4002.22750976566	4120.80548828129	4476.86730468752	3863.37832031253	4024.15194335939	3988.92903320313	3960.11379882817
	22	4130.66500976566	4648.65332031252	4557.90902343753	4207.16009765628	4148.19471679688	4629.23906250001	4151.74027343753	4730.43707031255	5270.89158203128	4377.61062500002	4049.53273437502	3855.09363281253	4236.02894531254	4532.53339843753	4297.76896484376	4728.50744140629	4243.22447265627	4316.15791015629	4935.06285156251	4350.57177734378	3932.69655273438	4049.1401074219	4184.13254882816	3988.88485351564	4594.10076171879	4495.09330078128	4132.28237304691	4222.9915917969	4509.64919921876	4482.27105468752	4650.21470703129	4762.45468750002	5399.96257812505	4473.09066406254	4872.84568359377	5091.77904296878	4419.77623046879	4733.06935546879	3914.0026855469	5000.75802734378	3900.25899414066	4219.23744140628	3993.54652343752	4166.73388671878	4369.37367187504	4441.20847656253	4459.05851562503	4933.46339843754	4413.34318359379	4095.11242187502	4036.23347656255	4169.85168945315	4148.18103515627	4272.47605468751	4523.92638671877	4153.04230468754	4818.40398437502	3942.52383789065	4303.36484375001	4902.71568359377	4009.16392578128	4073.78694335938	4151.15464843751	5136.73328125003	4874.86066406253	4898.2961914063	4158.12602539063	4047.88114257816	4546.73433593753	4568.85332031254	4125.8740039063	4169.9260449219	4351.24085937501	4031.37121093753	4031.87445312503	4117.28533203127	4802.95482421878	4284.54460937501	3946.79215820314	4235.37556640628	4865.54394531255	3894.78664062503	4208.59828125003	4163.88508789066	4122.32663085943	4117.06312500002	4029.31634765627	4162.40864257816	4390.84939453126	3986.43019531254	4101.69180664066	4451.99566406252	3850.34572265628	4014.84886718752	3978.21748046876	3948.87435546879
	22.5	4111.62986328128	4623.24654296878	4532.35011718753	4181.50640625003	4126.95058593753	4589.59062500003	4130.88297851565	4681.78916015628	5289.21572265628	4380.13585937503	4049.2974511719	3854.95947265627	4217.56947265628	4496.90769531253	4282.62371093753	4715.34691406253	4235.43660156253	4293.51746093753	4888.52027343753	4328.64125000003	3917.09230468753	4030.54433593753	4158.8141699219	3976.48325195315	4558.86126953128	4470.67808593753	4107.81977539065	4197.16210937503	4477.01867187503	4452.09798828128	4613.84787109378	4730.94425781253	5370.61160156253	4441.40908203128	4871.20992187503	5066.14119140628	4386.38523437503	4689.42464843753	3898.17480468752	4952.81386718753	3888.33003906252	4198.53166015628	3973.07804687502	4140.08185546878	4344.04267578128	4408.57582031253	4426.52054687503	4923.80230468753	4372.35947265628	4076.64080078128	4021.79872070315	4145.29904296878	4127.1779199219	4244.68359375003	4497.09953125003	4134.67926757815	4772.32552734378	3926.69016601565	4273.41748046878	4845.82988281253	3987.2029199219	4053.92168945315	4133.12892578128	5104.54480468753	4833.56324218753	4872.17240234378	4140.9981542969	4031.3464355469	4524.29589843753	4538.20648437503	4101.95767578128	4151.0065917969	4339.29812500003	4021.13224609378	4017.92606445315	4102.98427734378	4766.20896484378	4260.36564453128	3928.10583984377	4212.88136718753	4818.53818359378	3883.5865527344	4195.76773437503	4147.01145507815	4107.64041015628	4102.24269531253	4012.09322265627	4148.75699218753	4364.01255859378	3970.6328808594	4082.57812500003	4427.12402343753	3837.31312500002	4005.54579101565	3967.5059277344	3937.6349121094
	23	4092.5947167969	4597.83976562503	4506.79121093753	4155.85271484378	4105.70645507815	4549.94218750003	4110.02568359378	4633.14125000003	5307.53986328128	4382.66109375003	4049.06216796877	3854.82531250002	4199.11000000003	4461.28199218753	4267.47845703128	4702.18638671878	4227.64873046878	4270.87701171878	4841.97769531253	4306.71072265628	3901.48805664065	4011.94856445315	4133.49579101565	3964.08165039065	4523.62177734378	4446.26287109378	4083.3571777344	4171.33262695315	4444.38814453128	4421.92492187503	4577.48103515628	4699.43382812503	5341.26062500003	4409.72750000003	4869.57416015628	5040.50333984378	4352.99423828128	4645.77994140628	3882.34692382815	4904.86970703128	3876.4010839844	4177.82587890628	3952.60957031252	4113.42982421878	4318.71167968753	4375.94316406253	4393.98257812503	4914.14121093753	4331.37576171878	4058.16917968753	4007.36396484377	4120.7463964844	4106.17480468752	4216.89113281253	4470.27267578128	4116.31623046878	4726.24707031253	3910.85649414065	4243.47011718753	4788.94408203128	3965.24191406252	4034.0564355469	4115.10320312503	5072.35632812503	4792.26582031253	4846.04861328128	4123.87028320315	4014.81172851565	4501.85746093753	4507.55964843753	4078.04134765628	4132.0871386719	4327.35539062503	4010.89328125002	4003.97767578127	4088.68322265628	4729.46310546878	4236.18667968753	3909.4195214844	4190.38716796878	4771.53242187503	3872.38646484377	4182.93718750003	4130.13782226565	4092.95418945315	4087.42226562503	3994.87009765628	4135.1053417969	4337.17572265628	3954.83556640627	4063.4644433594	4402.25238281253	3824.28052734377	3996.24271484377	3956.79437500002	3926.39546875002
	23.5	4074.42748046878	4574.32039062503	4484.29328125003	4132.21007812503	4085.38071289065	4513.10121093753	4091.62681640628	4587.40230468753	5329.24980468753	4385.74478515628	4049.33688476565	3854.7416699219	4182.18203125003	4427.72582031253	4254.41220703128	4690.76375000003	4221.63449218753	4251.90441406253	4796.17931640628	4286.85181640628	3887.21330078127	3994.8012011719	4109.45273437503	3953.90532226565	4491.33857421878	4423.77765625003	4060.44293945315	4147.2152246094	4413.46664062503	4393.07916015628	4542.72466796878	4668.27708984378	5311.70539062503	4379.34380859378	4869.28845703128	5016.13599609378	4321.56054687503	4604.11628906253	3866.80269531252	4857.85287109378	3864.91164062502	4157.88740234378	3933.15216796877	4087.4467480469	4294.34488281253	4344.26476562503	4363.28042968753	4905.43753906253	4292.62310546878	4040.40653320315	3993.50712890627	4097.86529296878	4086.04908203128	4189.83437500003	4444.84001953128	4098.88162109377	4681.11236328128	3896.36330078128	4215.45482421878	4733.85093750003	3944.7351074219	4014.8885058594	4098.12957031253	5039.51255859378	4751.27416015628	4820.09488281253	4106.9360449219	3999.07857421877	4480.29425781253	4478.62382812503	4055.55973632815	4114.0013964844	4316.59001953128	4001.2917089844	3991.3013574219	4074.75849609378	4694.82828125003	4212.89404296878	3891.8106152344	4168.7829980469	4726.23035156253	3861.60637695315	4170.79871093753	4115.2010449219	4078.7116308594	4073.62287109378	3978.94481445315	4121.71419921878	4312.06310546878	3940.1461230469	4045.64708007815	4378.46281250003	3811.89997070315	3988.15171875002	3946.96123046877	3916.44125976565
	24	4056.45601562503	4551.28255859378	4463.98013671878	4110.0058496094	4066.26074218753	4478.87234375003	4075.31587890628	4544.71589843753	5354.58818359378	4388.09429687503	4049.49373046878	3854.1717089844	4166.27882812503	4395.98585937503	4242.87533203128	4680.48900390628	4216.27449218753	4235.78498046878	4751.38667968753	4268.97341796878	3874.87646484377	3979.56543945315	4086.25597656253	3945.4368652344	4461.42166015628	4403.06724609378	4038.0770996094	4124.55305664065	4384.31414062503	4365.36605468753	4508.74623046878	4637.75771484378	5281.84695312503	4350.23853515628	4869.79697265628	4992.27072265628	4291.85216796878	4564.13263671878	3852.2269042969	4810.81281250003	3853.57540039065	4138.50421875003	3914.17848632815	4062.5331542969	4270.29011718753	4312.95058593753	4334.03251953128	4896.08603515628	4255.58730468753	4023.23544921877	3979.41657226565	4076.39527343753	4066.57859375003	4163.12500000003	4420.62265625003	4082.14279296878	4636.29863281253	3882.61429687502	4189.21056640628	4679.95302734378	3926.00142578127	3996.0621386719	4082.34904296878	5006.27095703128	4710.39412109378	4794.27591796878	4090.26547851565	3984.2254199219	4459.89001953128	4450.58064453128	4034.22341796878	4096.34986328128	4306.85042968753	3991.6738183594	3979.1129199219	4061.24325195315	4661.20769531253	4190.36511718753	3875.03118164065	4148.04566406253	4683.03570312503	3851.78157226565	4159.39396484378	4101.74219726565	4064.94641601565	4060.84291015628	3963.65376953127	4108.00523437503	4288.78523437503	3925.88087890628	4028.59339843753	4355.57742187503	3800.10732421877	3981.38541015627	3937.78125000002	3907.64017578127
	24.5	4039.01078125003	4529.29890625003	4445.80119140628	4089.1443261719	4048.27285156253	4447.22505859378	4060.21804687503	4504.32109375003	5383.24031250003	4389.25427734378	4048.05265625003	3852.51068359377	4150.68935546878	4365.14486328128	4232.57214843753	4671.22949218753	4211.92562500003	4222.67554687503	4707.03824218753	4252.49289062503	3863.6570214844	3965.71125000002	4064.25337890628	3938.60689453127	4432.46583984378	4383.78890625003	4016.56177734377	4102.85989257815	4356.75263671878	4338.82660156253	4475.91941406253	4607.49513671878	5251.53484375003	4322.57003906253	4871.31066406253	4968.25494140628	4263.66535156253	4525.44736328128	3837.91111328127	4764.26384765628	3843.01336914065	4120.1136230469	3895.2579589844	4037.97267578128	4246.65224609378	4282.15271484378	4306.48361328128	4885.99552734378	4220.24680664065	4006.26914062502	3965.62336914065	4055.79793945315	4047.8186621094	4137.20188476565	4397.53736328128	4065.51656250003	4592.34916015628	3869.77317382815	4164.23476562503	4627.37189453128	3908.6272167969	3977.8637011719	4067.71696289065	4973.45039062503	4670.12517578128	4768.16701171878	4073.87958007815	3970.20806640627	4440.37423828128	4423.46115234378	4013.77814453127	4079.34460937503	4297.76089843753	3982.7159667969	3967.28759765627	4048.1227246094	4628.25759765628	4168.46669921878	3858.66961914065	4128.02994140628	4641.68466796878	3842.36785156252	4148.40238281253	4089.62804687503	4051.4275683594	4048.5350292969	3948.86532226565	4093.91474609378	4267.13574218753	3912.1561230469	4012.13763671877	4332.59367187503	3789.3662792969	3974.79805664065	3928.67226562502	3899.8006542969
