	Temperature	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
	20	3616.72752929688	3695.74237304693	3661.58619140626	3469.37645507813	3533.40133789066	3501.96690429691	3502.27622070317	3490.07529296877	3613.73653320314	3335.88047851563	3196.39835937501	3252.99421875003	3542.33507812502	3808.26515625002	3621.65033203127	5019.74626953127	4228.56297851565	3849.84788085941	3442.9699902344	3416.1458886719	3469.78981445314	3736.90328125003	3895.39552734375	4077.69971679692	3682.31352539066	3576.48389648441	3717.36040039064	3941.19495117188	5376.86207031252	3817.76370117191	3779.80476562503	4259.59845703127	4012.28033203127	5226.51988281252	4669.30343750003	4568.98964843753	3879.6199511719	3528.64998046876	3408.74993164063	4689.09576171878	3557.87910156252	6108.81140625008	3686.0338964844	3627.28846679691	3975.68823242191	4883.73535156252	3445.82510742191	4507.39738281253	3338.79109375004	3436.55532226565	3669.15752929689	3610.96013671879	3447.3993261719	3727.88051757812	3707.89024414064	3550.51780273439	3761.18444335938	4267.21251953128	4816.91929687503	4148.70712890627	3676.23966796876	3632.49400390626	3708.87137695314	3793.26802734377	4018.60625000003	4706.35753906254	4706.22242187503	4393.44138671877	3846.19357421877	4095.21582031254	4614.00703125002	4728.75244140629	3872.8595605469	3844.89187500004	3819.16268554689	4274.75041015628	3418.03350585938	3590.20596679688	4397.15640625002	4293.02401367189	4065.74590820313	3631.49879882813	4430.20422851565	4668.20843750004	3726.81462890626	3725.07270507816	3366.76386718751	3942.56548828128	3687.84293945313	3824.14304687503	5009.8957617188	4076.42266601566	3757.71949218751	3173.32199218752	3271.08857421876	3284.47818359376
	20.5	3605.00067382814	3683.93557617192	3650.21672851563	3458.26221679688	3520.32709960941	3488.17425781253	3489.27198242192	3476.90635742189	3598.24233398439	3330.36892578126	3201.71100585939	3245.58683593753	3527.44924804689	3790.82567382815	3606.86343750002	4991.73849609377	4187.9130371094	3832.48421875003	3430.9952636719	3404.44113281252	3456.16449218752	3715.70219726566	3867.86919921875	4062.53231445317	3667.87664062503	3565.29176757816	3704.55192382814	3919.28864257813	5358.84103515628	3801.87426757816	3762.07316406253	4255.73109375002	3988.83037109377	5194.17824218753	4633.06291015628	4525.26333984378	3858.2936621094	3516.82673828126	3397.89478515625	4687.41263671878	3541.61178710939	6079.77927734383	3667.25228515627	3607.52690429691	3949.14822265629	4869.47011718752	3432.26827148441	4498.18111328128	3328.76525390629	3425.54481445315	3656.36173828126	3595.42592773442	3435.36041015627	3712.81834960938	3693.41023437502	3538.29936523439	3740.72336914063	4262.51035156253	4774.49976562503	4111.98450195315	3657.26014648439	3615.99932617188	3692.46775390627	3778.69541992189	4013.67257812503	4709.87275390629	4673.74132812503	4384.65351562502	3821.37516601565	4090.02952148441	4628.08384765627	4711.75556640629	3856.99692382815	3832.76608398441	3810.25428710939	4270.43472656253	3405.59766601563	3573.22861328125	4366.20101562502	4264.88816406251	4040.52950195313	3612.66824218751	4388.70684570316	4660.80794921879	3710.63985351564	3709.09643554691	3356.85543945313	3916.16661132815	3670.35510742189	3800.39517578128	4960.40160156255	4062.87371093753	3751.81315429689	3165.52779296876	3262.29281250001	3273.96718750001
	21	3593.27381835939	3672.12877929692	3638.84726562501	3447.14797851563	3507.25286132816	3474.38161132816	3476.26774414067	3463.73742187502	3582.74813476564	3324.85737304688	3207.02365234376	3238.17945312503	3512.56341796877	3773.38619140627	3592.07654296877	4963.73072265627	4147.26309570315	3815.12055664066	3419.02053710939	3392.73637695315	3442.53916992189	3694.50111328128	3840.34287109375	4047.36491210942	3653.43975585941	3554.09963867191	3691.74344726564	3897.38233398438	5340.82000000003	3785.98483398441	3744.34156250003	4251.86373046877	3965.38041015627	5161.83660156253	4596.82238281253	4481.53703125003	3836.9673730469	3505.00349609376	3387.03963867188	4685.72951171878	3525.34447265627	6050.74714843758	3648.47067382814	3587.76534179691	3922.60821289066	4855.20488281252	3418.71143554691	4488.96484375003	3318.73941406254	3414.53430664065	3643.56594726564	3579.89171875005	3423.32149414065	3697.75618164062	3678.93022460939	3526.08092773439	3720.26229492188	4257.80818359378	4732.08023437503	4075.26187500002	3638.28062500002	3599.50464843751	3676.06413085939	3764.12281250002	4008.73890625003	4713.38796875004	4641.26023437503	4375.86564453127	3796.55675781252	4084.84322265629	4642.16066406252	4694.75869140629	3841.1342871094	3820.64029296879	3801.34588867189	4266.11904296878	3393.16182617188	3556.25125976563	4335.24562500002	4236.75231445314	4015.31309570313	3593.83768554688	4347.20946289066	4653.40746093754	3694.46507812501	3693.12016601566	3346.94701171876	3889.76773437503	3652.86727539064	3776.64730468753	4910.9074414063	4049.32475585941	3745.90681640626	3157.73359375001	3253.49705078126	3263.45619140626
	21.5	3581.54696289064	3660.32198242192	3627.47780273438	3436.03374023439	3494.17862304691	3460.58896484378	3463.26350585942	3450.56848632814	3567.25393554689	3319.34582031251	3212.33629882814	3230.77207031253	3497.67758789064	3755.9467089844	3577.28964843752	4935.72294921877	4106.6131542969	3797.75689453128	3407.04581054689	3381.03162109377	3428.91384765627	3673.30002929691	3812.81654296875	4032.19750976567	3639.00287109378	3542.90750976566	3678.93497070314	3875.47602539063	5322.79896484378	3770.09540039066	3726.60996093753	4247.99636718752	3941.93044921877	5129.49496093753	4560.58185546877	4437.81072265628	3815.6410839844	3493.18025390626	3376.1844921875	4684.04638671878	3509.07715820314	6021.71501953133	3629.68906250002	3568.00377929691	3896.06820312504	4840.93964843752	3405.15459960941	4479.74857421878	3308.71357421879	3403.52379882815	3630.77015625001	3564.35750976567	3411.28257812502	3682.69401367187	3664.45021484376	3513.86249023439	3699.80122070313	4253.10601562503	4689.66070312503	4038.5392480469	3619.30110351564	3583.00997070313	3659.66050781252	3749.55020507814	4003.80523437503	4716.90318359379	4608.77914062503	4367.07777343752	3771.7383496094	4079.65692382816	4656.23748046877	4677.76181640629	3825.27165039065	3808.51450195316	3792.43749023439	4261.80335937503	3380.72598632813	3539.27390625	4304.29023437502	4208.61646484376	3990.09668945313	3575.00712890626	4305.71208007816	4646.00697265629	3678.29030273439	3677.14389648441	3337.03858398438	3863.3688574219	3635.37944335939	3752.89943359378	4861.41328125005	4035.77580078128	3740.00047851564	3149.93939453126	3244.70128906251	3252.94519531251
	22	3569.82010742189	3648.51518554692	3616.10833984376	3424.91950195314	3481.10438476566	3446.79631835941	3450.25926757817	3437.39955078127	3551.75973632814	3313.83426757814	3217.64894531251	3223.36468750003	3482.79175781252	3738.50722656252	3562.50275390627	4907.71517578127	4065.96321289065	3780.39323242191	3395.07108398439	3369.3268652344	3415.28852539064	3652.09894531253	3785.29021484375	4017.03010742191	3624.56598632816	3531.71538085941	3666.12649414064	3853.56971679688	5304.77792968753	3754.20596679691	3708.87835937503	4244.12900390627	3918.48048828127	5097.15332031253	4524.34132812502	4394.08441406253	3794.3147949219	3481.35701171876	3365.32934570313	4682.36326171878	3492.80984375002	5992.68289062507	3610.90745117189	3548.24221679691	3869.52819335941	4826.67441406252	3391.59776367191	4470.53230468753	3298.68773437504	3392.51329101565	3617.97436523439	3548.8233007813	3399.2436621094	3667.63184570312	3649.97020507814	3501.64405273439	3679.34014648438	4248.40384765628	4647.24117187503	4001.81662109377	3600.32158203127	3566.51529296875	3643.25688476564	3734.97759765627	3998.87156250003	4720.41839843754	4576.29804687503	4358.28990234377	3746.91994140627	4074.47062500004	4670.31429687502	4660.76494140629	3809.4090136719	3796.38871093754	3783.52909179689	4257.48767578128	3368.29014648438	3522.29655273438	4273.33484375002	4180.48061523439	3964.88028320313	3556.17657226563	4264.21469726566	4638.60648437504	3662.11552734376	3661.16762695316	3327.13015625001	3836.96998046878	3617.89161132814	3729.15156250003	4811.9191210938	4022.22684570315	3734.09414062501	3142.14519531251	3235.90552734376	3242.43419921876
	22.5	3558.09325195315	3636.7083886719	3604.73887695315	3413.8052636719	3468.0301464844	3433.00367187502	3437.2550292969	3424.2306152344	3536.2655371094	3308.32271484377	3222.96159179689	3215.95730468752	3467.9059277344	3721.06774414065	3547.71585937502	4879.70740234378	4025.3132714844	3763.02957031252	3383.0963574219	3357.62210937502	3401.66320312502	3630.89786132815	3757.76388671877	4001.86270507815	3610.12910156252	3520.52325195315	3653.31801757815	3831.66340820315	5286.75689453128	3738.31653320315	3691.14675781252	4240.26164062503	3895.03052734377	5064.81167968753	4488.10080078128	4350.35810546878	3772.9885058594	3469.53376953127	3354.47419921877	4680.68013671878	3476.5425292969	5963.65076171879	3592.12583984377	3528.4806542969	3842.98818359377	4812.40917968753	3378.0409277344	4461.31603515628	3288.66189453127	3381.50278320315	3605.17857421877	3533.2890917969	3387.20474609377	3652.5696777344	3635.49019531252	3489.4256152344	3658.87907226565	4243.70167968753	4604.82164062503	3965.09399414065	3581.3420605469	3550.0206152344	3626.85326171877	3720.4049902344	3993.93789062502	4723.93361328128	4543.81695312503	4349.50203125003	3722.10153320315	4069.2843261719	4684.39111328128	4643.76806640628	3793.54637695315	3784.2629199219	3774.6206933594	4253.17199218753	3355.85430664065	3505.31919921877	4242.37945312503	4152.34476562503	3939.66387695315	3537.34601562502	4222.71731445315	4631.20599609378	3645.94075195315	3645.1913574219	3317.22172851565	3810.57110351565	3600.4037792969	3705.40369140627	4762.42496093753	4008.67789062502	3728.1878027344	3134.35099609377	3227.10976562502	3231.92320312502
	23	3546.3663964844	3624.9015917969	3593.36941406252	3402.69102539065	3454.95590820315	3419.21102539065	3424.25079101565	3411.06167968752	3520.77133789065	3302.8111621094	3228.27423828127	3208.54992187502	3453.02009765627	3703.62826171877	3532.92896484377	4851.69962890628	3984.66333007815	3745.66590820315	3371.1216308594	3345.91735351565	3388.0378808594	3609.69677734377	3730.23755859377	3986.6953027344	3595.6922167969	3509.3311230469	3640.50954101565	3809.7570996094	5268.73585937503	3722.4270996094	3673.41515625002	4236.39427734378	3871.58056640627	5032.47003906253	4451.86027343753	4306.63179687503	3751.6622167969	3457.71052734377	3343.6190527344	4678.99701171878	3460.27521484377	5934.61863281254	3573.34422851565	3508.7190917969	3816.44817382815	4798.14394531253	3364.4840917969	4452.09976562503	3278.63605468752	3370.49227539065	3592.38278320315	3517.75488281252	3375.16583007815	3637.50750976565	3621.0101855469	3477.2071777344	3638.4179980469	4238.99951171878	4562.40210937503	3928.37136718752	3562.36253906252	3533.52593750002	3610.4496386719	3705.83238281252	3989.00421875002	4727.44882812503	4511.33585937503	4340.71416015628	3697.28312500002	4064.09802734378	4698.46792968753	4626.77119140628	3777.6837402344	3772.13712890627	3765.7122949219	4248.85630859378	3343.4184667969	3488.34184570315	4211.42406250003	4124.20891601565	3914.44747070315	3518.5154589844	4181.21993164065	4623.80550781253	3629.76597656252	3629.21508789065	3307.31330078127	3784.17222656252	3582.91594726565	3681.65582031252	4712.93080078128	3995.1289355469	3722.28146484377	3126.55679687502	3218.31400390627	3221.41220703127
	23.5	3535.05431640627	3613.3395605469	3581.80367187502	3391.51630859377	3442.28747070315	3406.15310546877	3411.80443359377	3398.0474511719	3506.01029296877	3297.00015625002	3228.88689453127	3201.61148437502	3438.5484667969	3687.3119042969	3519.39580078127	4823.03601562503	3946.85446289065	3729.82700195315	3359.5032324219	3334.64943359377	3375.5726074219	3588.97994140627	3703.9512402344	3972.29270507815	3582.36168945315	3499.10164062502	3628.55262695315	3788.37555664065	5251.09533203128	3706.90394531252	3656.40091796877	4232.70214843753	3848.3279980469	4999.56269531253	4416.65503906253	4264.78025390628	3730.8243261719	3445.66675781252	3332.77074218752	4678.15392578128	3444.9031933594	5904.92703125004	3555.26473632815	3489.98653320315	3790.8476074219	4783.14654296878	3350.97513671877	4443.21980468753	3268.85497070315	3359.97383789065	3579.51695312502	3503.02747070315	3364.2515917969	3622.8985058594	3606.39861328127	3465.00981445315	3619.57645507815	4234.73423828127	4521.46201171878	3892.54031250002	3543.8119824219	3517.6707324219	3594.6122949219	3691.5608105469	3984.73793945315	4732.01355468753	4478.26789062503	4332.09625000003	3673.27576171877	4059.18173828128	4713.07105468753	4610.69849609378	3762.52634765627	3760.37082031252	3757.7970214844	4245.53476562503	3331.34266601565	3472.14865234377	4182.24500976565	4097.21727539065	3890.62951171877	3500.36594726565	4141.5209277344	4617.08080078128	3614.39591796877	3613.7708886719	3297.72750976565	3759.40961914065	3565.71708007815	3658.99266601565	4664.51714843753	3981.90632812502	3716.4120214844	3118.98789062502	3209.88248046877	3211.47857421877
	24	3524.00907226565	3602.03277343752	3570.40320312502	3380.52102539065	3429.73379882815	3393.3014746094	3399.70279296877	3385.54953125002	3491.54027343752	3291.51019531252	3226.37426757814	3195.07729492189	3424.52739257815	3671.6202636719	3506.63000000002	4793.09494140628	3910.6639746094	3715.33016601565	3348.35058593752	3323.7547167969	3363.70790039065	3568.42418945315	3678.00228515627	3958.32326171877	3569.43591796877	3489.52321289065	3617.3131152344	3766.76503906252	5233.13849609378	3691.70970703127	3639.51615234377	4228.90312500003	3824.8301464844	4965.60953125003	4381.38775390628	4223.83341796878	3709.76379882815	3433.8614355469	3321.90185546877	4677.34130859378	3429.8806152344	5873.91435546879	3537.14524414065	3471.9387011719	3765.73492187502	4768.33541015628	3337.8751855469	4434.91871093753	3259.14177734377	3349.45695312502	3566.18115234377	3489.11954101565	3353.99890625002	3608.43587890627	3591.6275683594	3452.4092480469	3601.98759765627	4230.53947265628	4481.10041015628	3857.44024414065	3525.94250976565	3501.9023730469	3579.02125976565	3676.70028320315	3981.46906250002	4737.31039062503	4444.50048828128	4323.63041015628	3649.75212890627	4054.31384765628	4727.74675781253	4594.90683593753	3747.5031933594	3749.1781933594	3750.90750000002	4242.98166015628	3319.56421875002	3456.38177734377	4153.33550781253	4070.9057324219	3868.06103515627	3482.9269433594	4103.2214355469	4611.05390625003	3599.06747070315	3599.2971777344	3288.7128417969	3735.53171875002	3549.29400390627	3636.88847656252	4616.19722656253	3969.38480468752	3710.61414062502	3111.23421875002	3201.10091796877	3202.23806640627
	24.5	3512.98855468752	3591.29914062502	3559.44904296877	3369.74050781252	3417.21697265627	3380.58304687502	3387.9069433594	3372.92160156252	3477.48865234377	3285.96754882815	3222.98002929689	3189.04417968752	3410.95791015627	3656.3033496094	3494.30004882815	4762.32222656253	3875.81343750002	3702.16488281252	3337.78317382815	3312.7515527344	3351.8400292969	3548.45003906252	3652.60540039065	3945.12589843752	3556.52119140627	3480.7489746094	3605.95156250002	3745.1429199219	5214.88111328128	3676.71279296877	3622.4397949219	4224.82892578127	3801.1474902344	4930.76273437503	4346.00416015628	4184.37395507815	3688.30851562502	3421.78247070315	3311.36873046877	4676.58291015628	3415.4085449219	5841.12482421879	3519.4415527344	3453.7903027344	3740.88804687502	4753.83951171878	3325.07363281252	4427.31916015628	3249.6854589844	3338.79218750002	3552.33637695315	3475.15845703127	3343.92145507815	3593.97324218752	3577.33860351565	3439.49547851565	3586.34605468752	4226.97527343753	4441.59150390628	3822.99021484377	3508.68043945315	3486.5124121094	3563.53333984377	3661.51707031252	3979.08806640628	4743.38199218753	4410.04251953128	4315.73664062503	3626.54481445315	4049.41224609378	4743.15359375003	4579.84203125003	3732.70480468752	3737.90972656252	3744.1058886719	4241.55912109378	3307.84894531252	3441.3106542969	4124.91658203128	4045.59681640627	3846.64466796877	3466.74425781252	4065.70623046877	4605.90804687503	3584.07059570315	3585.50293945315	3279.86817382815	3712.43382812502	3533.36404296877	3615.50852539065	4568.56205078128	3957.27167968752	3704.82787109377	3103.72846679689	3192.51148437502	3192.9296386719
